new_para	upos	pos	kotus_tn	kotus_av	plurale_tantum	grade_dir	harmony	stem_vowel	stem_diphthong	possessive	clitics	suffix_regex	deletion
ADJ_LÄHTEISYYS	ADJ	ADJECTIVE	40	None	False	strengthen	front	None	None	False	False	ys	s
ADJ_LÄMMIN	ADJ	ADJECTIVE	35	H	False	strengthen	front	None	None	False	False	mmin	min
ADJ_LÄNTÄ	ADJ	ADJECTIVE	10	J	False	weaken	front	ä	None	False	False	ntä	tä
ADJ_LÄTYSKÄ	ADJ	ADJECTIVE	13	None	False	weaken	front	ä	None	False	False	ä	ä
ADJ_LÖPERÖ	ADJ	ADJECTIVE	2	None	False	weaken	front	None	None	False	False	ö
ADJ_LÖRPPÖ	ADJ	ADJECTIVE	1	B	False	weaken	front	None	None	False	False	ppö	pö
ADJ_MARTO	ADJ	ADJECTIVE	1	K	False	weaken	back	None	None	False	False	rto	to
ADJ_MATALA	ADJ	ADJECTIVE	10	None	False	weaken	back	a	None	False	False	a	a
ADJ_MATTA	ADJ	ADJECTIVE	9	C	False	weaken	back	a	None	False	False	tta	ta
ADJ_MELTO	ADJ	ADJECTIVE	1	I	False	weaken	back	None	None	False	False	lto	to
ADJ_MIETO	ADJ	ADJECTIVE	1	F	False	weaken	back	None	None	False	False	to	to
ADJ_MUU	ADJ	ADJECTIVE	18	None	False	weaken	back	u	None	False	False	uu	u
ADJ_MYKKÄ	ADJ	ADJECTIVE	10	A	False	weaken	front	ä	None	False	False	kkä	kä
ADJ_MÄRKÄ	ADJ	ADJECTIVE	10	D	False	weaken	front	ä	None	False	False	kä	kä
ADJ_MÄTÄ	ADJ	ADJECTIVE	10	F	False	weaken	front	ä	None	False	False	tä	tä
ADJ_NELJÄS	ADJ	ADJECTIVE	45	None	False	strengthen	front	None	None	False	False	s	s
ADJ_OHUT	ADJ	ADJECTIVE	43	None	False	strengthen	back	None	None	False	False	ut	t
ADJ_OIKEE	ADJ	ADJECTIVE	15	None	False	weaken	back	None	None	False	False	ee	e
ADJ_OPAAKKI	ADJ	ADJECTIVE	5	A	False	weaken	back	None	None	False	False	kki	ki
ADJ_PAHIN	ADJ	ADJECTIVE	36	None	False	strengthen	back	None	None	False	False	in	n
ADJ_PANTU	ADJ	ADJECTIVE	1	J	False	weaken	back	None	None	False	False	ntu	tu
ADJ_PARANNELTU	ADJ	ADJECTIVE	1	I	False	weaken	back	None	None	False	False	ltu	tu
ADJ_PARAS	ADJ	ADJECTIVE	41	None	False	strengthen	back	None	None	False	False	as	as
ADJ_PEEAA	ADJ	ADJECTIVE	18	None	False	weaken	back	a	None	False	False	aa	a
ADJ_PIENI	ADJ	ADJECTIVE	26	None	False	weaken	front	None	None	False	False	i	i
ADJ_PIKKU	ADJ	ADJECTIVE	99	None	False	strengthen	both	None	None	False	False	.
ADJ_PINKKI	ADJ	ADJECTIVE	5	A	False	weaken	front	None	None	False	False	kki	ki
ADJ_PITKÄ	ADJ	ADJECTIVE	1010	None	False	weaken	front	ä	None	False	False	tkä	tkä
ADJ_POHATTA	ADJ	ADJECTIVE	14	C	False	weaken	back	a	None	False	False	tta	ta
ADJ_POPPA	ADJ	ADJECTIVE	10	B	False	weaken	back	a	None	False	False	ppa	pa
ADJ_RAAKA	ADJ	ADJECTIVE	9	D	False	weaken	back	a	None	False	False	ka	ka
ADJ_RAITIS	ADJ	ADJECTIVE	41	C	False	strengthen	back	None	None	False	False	tis	is
ADJ_RAMPA	ADJ	ADJECTIVE	9	H	False	weaken	back	a	None	False	False	mpa	pa
ADJ_REHTI	ADJ	ADJECTIVE	5	F	False	weaken	front	None	None	False	False	ti	ti
ADJ_REIPAS	ADJ	ADJECTIVE	41	B	False	strengthen	back	None	None	False	False	pas	as
ADJ_RIETAS	ADJ	ADJECTIVE	41	C	False	strengthen	back	None	None	False	False	tas	as
ADJ_RIIVIÖ	ADJ	ADJECTIVE	3	None	False	weaken	front	None	None	False	False	iö
ADJ_RUMA	ADJ	ADJECTIVE	10	None	False	weaken	back	a	None	False	False	a	a
ADJ_RÄVÄKKÄ	ADJ	ADJECTIVE	14	A	False	weaken	front	ä	None	False	False	kkä	kä
ADJ_SANKA	ADJ	ADJECTIVE	9	G	False	weaken	back	a	None	False	False	nka	ka
ADJ_SIPPI	ADJ	ADJECTIVE	5	B	False	weaken	front	None	None	False	False	ppi	pi
ADJ_SISIN	ADJ	ADJECTIVE	36	None	False	strengthen	front	None	None	False	False	in	n
ADJ_STYDI	ADJ	ADJECTIVE	5	None	False	weaken	front	None	None	False	False	i	i
ADJ_SUIPPO	ADJ	ADJECTIVE	1	B	False	weaken	back	None	None	False	False	ppo	po
ADJ_SUOMALAINEN	ADJ	ADJECTIVE	38	None	False	strengthen	back	None	None	False	False	nen	nen
ADJ_SUURI	ADJ	ADJECTIVE	2426	None	False	weaken	back	None	None	False	False	i	i
ADJ_SYMPPIS	ADJ	ADJECTIVE	39	None	False	strengthen	front	None	None	False	False	s	s
ADJ_SYYPÄÄ	ADJ	ADJECTIVE	18	None	False	weaken	front	ä	None	False	False	ää	ä
ADJ_SÄIKKY	ADJ	ADJECTIVE	1	A	False	weaken	front	None	None	False	False	kky	ky
ADJ_SÄKKÄRÄ	ADJ	ADJECTIVE	11	None	False	weaken	front	ä	None	False	False	ä	ä
ADJ_TARKKA	ADJ	ADJECTIVE	9	A|D	False	weaken	back	a	None	False	False	ka	ka
ADJ_TERVE	ADJ	ADJECTIVE	48	None	False	strengthen	front	None	None	False	False	e
ADJ_TERÄVÄ	ADJ	ADJECTIVE	10	None	False	weaken	front	ä	None	False	False	ä	ä
ADJ_TIIVIS	ADJ	ADJECTIVE	41	None	False	strengthen	front	None	None	False	False	is	is
ADJ_TOINEN	ADJ	NUMERAL	38	None	False	strengthen	back	None	None	False	False	inen	nen
ADJ_TOOPE	ADJ	ADJECTIVE	8	None	False	weaken	back	None	None	False	False	e
ADJ_TUHTI	ADJ	ADJECTIVE	5	F	False	weaken	back	None	None	False	False	ti	ti
ADJ_TUMMAHKO	ADJ	ADJECTIVE	1	None	False	weaken	back	None	None	False	False	o
ADJ_TURTA	ADJ	ADJECTIVE	10	K	False	weaken	back	a	None	False	False	rta	ta
ADJ_TYHMÄ	ADJ	ADJECTIVE	10	None	False	weaken	front	ä	None	False	False	ä	ä
ADJ_TYVEN	ADJ	ADJECTIVE	32	None	False	strengthen	front	None	None	False	False	n
ADJ_TYYLIKÄS	ADJ	ADJECTIVE	41	A	False	strengthen	front	None	None	False	False	käs	äs
ADJ_TYÖLÄS	ADJ	ADJECTIVE	41	None	False	strengthen	front	None	None	False	False	äs	s
ADJ_TÄYSI	ADJ	ADJECTIVE	27	None	False	weaken	front	None	None	False	False	si	si
ADJ_UUSI	ADJ	ADJECTIVE	27	None	False	weaken	back	None	None	False	False	si	si
ADJ_VALKAISTU	ADJ	ADJECTIVE	1	None	False	weaken	back	None	None	False	False	u
ADJ_VALMIS	ADJ	ADJECTIVE	41	None	False	strengthen	back	None	None	False	False	is	is
ADJ_VAPAA	ADJ	ADJECTIVE	17	None	False	weaken	back	a	None	False	False	aa	a
ADJ_VASEN	ADJ	ADJECTIVE	37	None	False	strengthen	back	None	None	False	False	n	n
ADJ_VELTTO	ADJ	ADJECTIVE	1	C	False	weaken	back	None	None	False	False	tto	to
ADJ_VENTO	ADJ	ADJECTIVE	1	J	False	weaken	back	None	None	False	False	nto	to
ADJ_VIATON	ADJ	ADJECTIVE	34	C	False	strengthen	back	None	None	False	False	ton	on
ADJ_VIHANTA	ADJ	ADJECTIVE	9	J	False	weaken	back	a	None	False	False	nta	ta
ADJ_VIHERIÄ	ADJ	ADJECTIVE	15	None	False	weaken	front	ä	None	False	False	iä	ä
ADJ_VIIPALOITU	ADJ	ADJECTIVE	1	F	False	weaken	back	None	None	False	False	tu	tu
ADJ_VIMMATTU	ADJ	ADJECTIVE	1	C	False	weaken	back	None	None	False	False	ttu	tu
ADJ_VIRKKU	ADJ	ADJECTIVE	1	A	False	weaken	back	None	None	False	False	kku	ku
ADJ_VOIMAKAS	ADJ	ADJECTIVE	41	A	False	strengthen	back	None	None	False	False	kas	as
ADJ_VOIPA	ADJ	ADJECTIVE	10	E	False	weaken	back	a	None	False	False	pa	pa
ADJ_VÄHÄTELTY	ADJ	ADJECTIVE	1	I	False	weaken	front	None	None	False	False	lty	ty
ADJ_VÄNKÄ	ADJ	ADJECTIVE	10	G	False	weaken	front	ä	None	False	False	nkä	kä
ADJ_VÄÄRTTI	ADJ	ADJECTIVE	5	C	False	weaken	front	None	None	False	False	tti	ti
ADJ_YKSILÖITY	ADJ	ADJECTIVE	1	F	False	weaken	front	None	None	False	False	ty	ty
ADJ_YLENNETTY	ADJ	ADJECTIVE	1	C	False	weaken	front	None	None	False	False	tty	ty
ADJ_ÄLLISTYNYT	ADJ	ADJECTIVE	47	None	False	strengthen	front	y	None	False	False	yt	yt
ADJ_ÖYKKÄRI	ADJ	ADJECTIVE	6	None	False	weaken	front	None	None	False	False	i	i
ADP_ALLE	ADP	PARTICLE	99	None	False	False	back	None	None	optional	True	e
ADP_KOTONA	ADP	PARTICLE	99	None	False	False	back	None	None	optional	True	.
ADP_LISÄKSI	ADP	PARTICLE	99	None	False	False	front	None	None	optional	True	ksi	i
ADP_LÄHELLÄ	ADP	PARTICLE	99	None	False	False	front	None	None	optional	True	ä
ADP_MUKAAN	ADP	PARTICLE	99	None	False	False	back	None	None	optional	True	n	n
ADP_MUKAISESTI	ADP	PARTICLE	99	None	False	False	both	None	None	optional	True	.
ADP_NÄHDEN	ADP	PARTICLE	99	None	False	False	front	None	None	optional	True	den	den
ADP_NÄKYVIIN	ADP	PARTICLE	99	None	False	False	front	None	None	optional	True	n	n
ADP_TYKÖ	ADP	PARTICLE	99	None	False	False	front	None	None	optional	True	.
ADP_VALTAAN	ADP	PARTICLE	99	None	False	False	back	None	None	optional	True	n	n
ADP_VUOKSI	ADP	PARTICLE	99	None	False	False	back	None	None	optional	True	ksi	i
ADP_YLLE	ADP	PARTICLE	99	None	False	False	front	None	None	optional	True	e
ADV_AIKANSA	ADV	PARTICLE	99	None	False	False	back	None	None	obligatory	True	.
