lemma	homonym	new_para	origin
Anttoonin niittu	PROPN	PROPN_TORTTU	finer
Aostan laakso	PROPN	PROPN_TALO	finer
Apache Corporation	PROPN	PROPN_STADION	finer
Aparecida de Goiania	PROPN	PROPN_KITARA	finer
Aparecida de Goiânia	PROPN	PROPN_KITARA	finer
Apian kanava	PROPN	PROPN_VOIMA	finer
Apollo Global Management	PROPN	PROPN_PUNK	finer
Apoteket Hjärtat	PROPN	PROPN_PUNK	finer
Apparel Arts	PROPN	PROPN_PUNK	finer
Appelsiini Finland	PROPN	PROPN_PUNK	finer
Appenzell Ausserrhoden	PROPN	PROPN_PUNK	finer
Appenzell Innerrhoden	PROPN	PROPN_PUNK	finer
Appisen Vanhapalo	PROPN	PROPN_TALO	finer
Ar Raqqah	PROPN	PROPN_PUNK	finer
Ar Rayyan	PROPN	PROPN_PUNK	finer
Ar Rutba	PROPN	PROPN_VOIMA	finer
Ar Ru’ays	PROPN	PROPN_ZEN	finer
Ara-Matin suvanto	PROPN	PROPN_TUNTO	finer
Ara-Matin vuopaja	PROPN	PROPN_VOIMA	finer
Arabiemiirikuntien liitto	PROPN	PROPN_HIRTTO	enwikt
Arba Minch	PROPN	PROPN_ZEN	finer
Arbetets Vänner i Sörnäs	PROPN	PROPN_ZEN	finer
Arca Nova	PROPN	PROPN_VOIMA	finer
Arcelor Mittal	PROPN	PROPN_PUNK	finer
Arch Packaking	PROPN	PROPN_PUNK	finer
Archaia Korinthos	PROPN	PROPN_FRANCIS	finer
Archaía Kórinthos	PROPN	PROPN_FRANCIS	finer
Arctech Helsinki Shipyard	PROPN	PROPN_PUNK	finer
Arctic Paper	PROPN	PROPN_STADION	finer
Arena Interactive	PROPN	PROPN_NALLE	finer
Argolikos Kolpos	PROPN	PROPN_PUNK	finer
Argolikós Kólpos	PROPN	PROPN_PUNK	finer
Argus Research	PROPN	PROPN_PUNK	finer
Ariel Investments	PROPN	PROPN_ZEN	finer
Arkangelin alue	PROPN	PROPN_ASTE	finer
Arki-Leipusen kuusikko	PROPN	PROPN_LEPAKKO	finer
Arkkitehtitoimistojen liitto	PROPN	PROPN_HIRTTO	finer
Arkkukankaan kytömaa	PROPN	PROPN_MAA	finer
Arkkuun Pikkuniittu	PROPN	PROPN_TORTTU	finer
Arktinen neuvosto	PROPN	PROPN_RUIPELO	finer
Arktinen yliopisto	PROPN	PROPN_RUIPELO	finer
Arktos Group	PROPN	PROPN_PUNK	finer
Arla Ingman	PROPN	PROPN_PUNK	finer
Aro Kestin aho	PROPN	PROPN_TALO	finer
Arolan Mikkola	PROPN	PROPN_KITARA	finer
Aron teollisuusalue	PROPN	PROPN_ASTE	finer
Arpalahden Mustalammi	PROPN	PROPN_RUUVI	finer
Arpi Aviation	PROPN	PROPN_STADION	finer
Arthur’s Town	PROPN	PROPN_PUNK	finer
Artic Team	PROPN	PROPN_PUNK	finer
Artjärven Ahjo	PROPN	PROPN_TALO	finer
Arunachal Pradesh	PROPN	PROPN_PUNK	finer
Arvin Kämppäsaari	PROPN	PROPN_RUUHI	finer
Arvind Bhatia	PROPN	PROPN_MAKKARA	finer
As Salif	PROPN	PROPN_PUNK	finer
As Sulaymaniyah	PROPN	PROPN_PUNK	finer
