continuation	stuffs	stempart	continuations... # <- HEADERS
ADJ_BACK_PARTITIVE_TA	Nsg|Xpar	{MB}ta	ADJ_BACK_POSS_AN_CLIT_OPT
ADJ_BACK_PLNOM_CLIT	Npl|Xnom	{MB}t	ADJ_BACK_CLIT_OPT
ADJ_BACK_PLURALS			ADJ_BACK_STRONG_PLURALS|ADJ_BACK_WEAK_PLURALS
ADJ_BACK_POSS_AN_CLIT_OPT			ADJ_BACK_POSS|ADJ_BACK_POSS_AN|ADJ_BACK_CLIT|#
ADJ_BACK_POSS_AN	O3	{MB}an	ADJ_BACK_CLIT_OPT
ADJ_BACK_POSS_AN	O3|Uarch	{MB}han	ADJ_BACK_CLIT_OPT
ADJ_BACK_POSS_CLIT_OPT			ADJ_BACK_POSS|ADJ_BACK_CLIT|#
ADJ_BACK_POSS_EN_CLIT_OPT			ADJ_BACK_POSS|ADJ_BACK_POSS_EN|ADJ_BACK_CLIT|#
ADJ_BACK_POSS_EN	O3	{MB}en	ADJ_BACK_CLIT_OPT
ADJ_BACK_POSS_EN	O3|Uarch	{MB}hen	ADJ_BACK_CLIT_OPT
ADJ_BACK_POSS_EN_OBL			ADJ_BACK_POSS|ADJ_BACK_POSS_EN
ADJ_BACK_POSS	O3	{MB}nsa	ADJ_BACK_CLIT_OPT
ADJ_BACK_POSS	Opl1	{MB}mme	ADJ_BACK_CLIT_OPT
ADJ_BACK_POSS	Opl2	{MB}nne	ADJ_BACK_CLIT_OPT
ADJ_BACK_POSS	Osg1	{MB}ni	ADJ_BACK_CLIT_OPT
ADJ_BACK_POSS	Osg2	{MB}si	ADJ_BACK_CLIT_OPT
ADJ_BACK_SINGULARS			ADJ_BACK_STRONG_SINGULARS|ADJ_BACK_WEAK_SINGULARS
ADJ_BACK_SINGULARS_ARCHAIC	Npl|Xnom|Uarch		ADJ_BACK_POSS
ADJ_BACK_SINGULARS_ARCHAIC	Npl|Xnom|Uarch	{MB}t	ADJ_BACK_CLIT_OPT
ADJ_BACK_SINGULARS_ARCHAIC	Nsg|Xabe|Uarch	{MB}tta	ADJ_BACK_POSS_AN_CLIT_OPT
ADJ_BACK_SINGULARS_ARCHAIC	Nsg|Xabl|Uarch	{MB}lta	ADJ_BACK_POSS_AN_CLIT_OPT
ADJ_BACK_SINGULARS_ARCHAIC	Nsg|Xade|Uarch	{MB}lla	ADJ_BACK_POSS_AN_CLIT_OPT
ADJ_BACK_SINGULARS_ARCHAIC	Nsg|Xall|Uarch	{MB}lle	ADJ_BACK_POSS_EN_CLIT_OPT
ADJ_BACK_SINGULARS_ARCHAIC	Nsg|Xela|Uarch	{MB}sta	ADJ_BACK_POSS_AN_CLIT_OPT
ADJ_BACK_SINGULARS_ARCHAIC	Nsg|Xess|Uarch	{MB}na	ADJ_BACK_POSS_AN_CLIT_OPT
ADJ_BACK_SINGULARS_ARCHAIC	Nsg|Xgen|Uarch		ADJ_BACK_POSS
