# Incoming morph	analyses	stem part	continuations...	#<- HEADERS
V_BACK_POSS_EN_OBL			V_BACK_POSS	V_BACK_POSS_EN
V_BACK_POSS	O3	{MB}nsa	V_BACK_CLIT_OPT
V_BACK_POSS	Opl1	{MB}mme	V_BACK_CLIT_OPT
V_BACK_POSS	Opl2	{MB}nne	V_BACK_CLIT_OPT
V_BACK_POSS_OPT			V_BACK_POSS	#
V_BACK_POSS	Osg1	{MB}ni	V_BACK_CLIT_OPT
V_BACK_POSS	Osg2	{MB}si	V_BACK_CLIT_OPT
V_BACK_POTENTIAL_L	Dnut	{DB}l	A_KULUNUT
V_BACK_POTENTIAL_L	Vact|Cnut|Npl	{MB}lee{MB}t	#
V_BACK_POTENTIAL_L	Vact|Cnut|Npl|Uarch	{MB}lehe{MB}t	#
V_BACK_POTENTIAL_L	Vact|Cnut|Nsg	{MB}lut	#
V_BACK_POTENTIAL_L	Vact|Cnut|Nsg|Udial	{MB}lu	#
V_BACK_POTENTIAL_L	Vact|Tpast|Npl|Ncon	{MB}lee{MB}t	V_BACK_CLIT_KIN_KAAN_OPT
V_BACK_POTENTIAL_L	Vact|Tpast|Npl|Ncon|Uarch	{MB}lehe{MB}t	V_BACK_CLIT_KIN_KAAN_OPT
V_BACK_POTENTIAL_L	Vact|Tpast|Nsg|Ncon	{MB}lut	V_BACK_CLIT_KIN_KAAN_OPT
V_BACK_POTENTIAL_L	Vact|Tpast|Nsg|Ncon|Udial	{MB}lu	V_BACK_CLIT_KIN_KAAN_OPT
V_BACK_POTENTIAL_L	Vact|Tpot|Ncon	{MB}le	V_BACK_CLIT_KIN_KAAN_OPT
V_BACK_POTENTIAL_L	Vact|Tpot|Ppl1	{MB}lem{MB}me	V_BACK_CLIT_OPT
V_BACK_POTENTIAL_L	Vact|Tpot|Ppl2	{MB}let{MB}te	V_BACK_CLIT_OPT
V_BACK_POTENTIAL_L	Vact|Tpot|Ppl3	{MB}le{MB}vat	V_BACK_CLIT_OPT
V_BACK_POTENTIAL_L	Vact|Tpot|Psg1	{MB}le{MB}n	V_BACK_CLIT_OPT
V_BACK_POTENTIAL_L	Vact|Tpot|Psg2	{MB}le{MB}t	V_BACK_CLIT_OPT
V_BACK_POTENTIAL_L	Vact|Tpot|Psg3	{MB}le{MB}e	V_BACK_CLIT_OPT
V_BACK_POTENTIAL_N	Dnut	{DB}n	A_KULUNUT
