new_para	lemma	stuff	gloss
A_KELPO	kelvompi	kelpo|ADJECTIVE|Ccmp|Nsg|Xnom	
A_KELPO	kelvoin	kelpo|ADJECTIVE|Csup|Nsg|Xnom	
A_MIETO	mieto	mieto|ADJECTIVE|Nsg|Xnom	mild 
A_MIETO	miedossa	mieto|ADJECTIVE|Nsg|Xine	
A_MIETO	mietoihin	mieto|ADJECTIVE|Npl|Xill	
A_MIETO	miedoista	mieto|ADJECTIVE|Npl|Xela	
A_MIETO	miedompi	mieto|ADJECTIVE|Ccmp|Nsg|Xnom	
A_MIETO	miedoin	mieto|ADJECTIVE|Csup|Nsg|Xnom	
A_VIIPALOITU	viipaloitu	viipaloitu|ADJECTIVE|Nsg|Xnom	sliced 
A_VIIPALOITU	viipaloidussa	viipaloitu|ADJECTIVE|Nsg|Xine	
A_VIIPALOITU	viipaloituihin	viipaloitu|ADJECTIVE|Npl|Xill	
A_VIIPALOITU	viipaloiduista	viipaloitu|ADJECTIVE|Npl|Xela	
A_VIIPALOITU	viipaloidumpi	viipaloitu|ADJECTIVE|Ccmp|Nsg|Xnom	
A_VIIPALOITU	viipaloiduin	viipaloitu|ADJECTIVE|Csup|Nsg|Xnom	
A_YKSILÖITY	yksilöity	yksilöity|ADJECTIVE|Nsg|Xnom	singled 
A_YKSILÖITY	yksilöidyssä	yksilöity|ADJECTIVE|Nsg|Xine	
A_YKSILÖITY	yksilöityihin	yksilöity|ADJECTIVE|Npl|Xill	
A_YKSILÖITY	yksilöidyistä	yksilöity|ADJECTIVE|Npl|Xela	
A_YKSILÖITY	yksilöidympi	yksilöity|ADJECTIVE|Ccmp|Nsg|Xnom	
A_YKSILÖITY	yksilöidyin	yksilöity|ADJECTIVE|Csup|Nsg|Xnom	
A_LENKO	lenko	lenko|ADJECTIVE|Nsg|Xnom	crooked 
A_LENKO	lengossa	lenko|ADJECTIVE|Nsg|Xine	
A_LENKO	lengoista	lenko|ADJECTIVE|Npl|Xela	
A_LENKO	lenkoihin	lenko|ADJECTIVE|Npl|Xill	
A_LENKO	lengompi	lenko|ADJECTIVE|Ccmp|Nsg|Xnom	
A_LENKO	lengoin	lenko|ADJECTIVE|Csup|Nsg|Xnom	
A_MELTO	melto	melto|ADJECTIVE|Nsg|Xnom	????? 
A_MELTO	mellossa	melto|ADJECTIVE|Nsg|Xine	
A_MELTO	meltoihin	melto|ADJECTIVE|Npl|Xill	
A_MELTO	melloista	melto|ADJECTIVE|Npl|Xela	
A_MELTO	mellompi	melto|ADJECTIVE|Ccmp|Nsg|Xnom	
A_MELTO	melloin	melto|ADJECTIVE|Csup|Nsg|Xnom	
A_PARANNELTU	paranneltu	paranneltu|ADJECTIVE|Nsg|Xnom	embettered 
A_PARANNELTU	parannellussa	paranneltu|ADJECTIVE|Nsg|Xine	
A_PARANNELTU	paranneltuihin	paranneltu|ADJECTIVE|Npl|Xill	
A_PARANNELTU	parannelluista	paranneltu|ADJECTIVE|Npl|Xela	
A_PARANNELTU	parannellumpi	paranneltu|ADJECTIVE|Ccmp|Nsg|Xnom	
A_PARANNELTU	parannelluin	paranneltu|ADJECTIVE|Csup|Nsg|Xnom	
A_VÄHÄTELTY	vähätelty	vähätelty|ADJECTIVE|Nsg|Xnom	belittled 
A_VÄHÄTELTY	vähätellyssä	vähätelty|ADJECTIVE|Nsg|Xine	
A_VÄHÄTELTY	vähäteltyihin	vähätelty|ADJECTIVE|Npl|Xill	
A_VÄHÄTELTY	vähätellyistä	vähätelty|ADJECTIVE|Npl|Xela	
A_VÄHÄTELTY	vähätellympi	vähätelty|ADJECTIVE|Ccmp|Nsg|Xnom	
A_VÄHÄTELTY	vähätellyin	vähätelty|ADJECTIVE|Csup|Nsg|Xnom	
A_VENTO	vento	vento|ADJECTIVE|Nsg|Xnom	? 
A_VENTO	vennossa	vento|ADJECTIVE|Nsg|Xine	
A_VENTO	ventoihin	vento|ADJECTIVE|Npl|Xill	
A_VENTO	vennoista	vento|ADJECTIVE|Npl|Xela	
A_VENTO	vennompi	vento|ADJECTIVE|Ccmp|Nsg|Xnom	
A_VENTO	vennoin	vento|ADJECTIVE|Csup|Nsg|Xnom	
A_PANTU	pantu	pantu|ADJECTIVE|Nsg|Xnom	brewed 
A_PANTU	pannussa	pantu|ADJECTIVE|Nsg|Xine	
A_PANTU	pantuihin	pantu|ADJECTIVE|Npl|Xill	
A_PANTU	pannuista	pantu|ADJECTIVE|Npl|Xela	
A_PANTU	pannumpi	pantu|ADJECTIVE|Ccmp|Nsg|Xnom	
A_PANTU	pannuin	pantu|ADJECTIVE|Csup|Nsg|Xnom	
A_MENTY	menty	menty|ADJECTIVE|Nsg|Xnom	belittled 
A_MENTY	mennyssä	menty|ADJECTIVE|Nsg|Xine	
A_MENTY	mentyihin	menty|ADJECTIVE|Npl|Xill	
A_MENTY	mennyistä	menty|ADJECTIVE|Npl|Xela	
A_MENTY	mennympi	menty|ADJECTIVE|Ccmp|Nsg|Xnom	
A_MENTY	mennyin	menty|ADJECTIVE|Csup|Nsg|Xnom	
A_MARTO	marto	marto|ADJECTIVE|Nsg|Xnom	??? 
A_MARTO	marrossa	marto|ADJECTIVE|Nsg|Xine	
