new_para	suffix_regex
NOUN_51täysikuu	täysikuu
NOUN_51tyhjäpaino	tyhjäpaino
NOUN_51uusikuu	uusikuu
NOUN_51uusivuosi	uusivuosi
NOUN_51vanhaemäntä	vanhaemäntä
NOUN_51vanhaisäntä	vanhaisäntä
NOUN_51vanhakaupunki	vanhakaupunki
NOUN_51vanhapiika	vanhapiika
NOUN_51vanhapoika	vanhapoika
NOUN_51vierasmies	vierasmies
NOUN_AAKKOSELLISUUS	us
NOUN_AAKKOSTAMINEN	nen
NOUN_AALLOT	lot
NOUN_AAMUKAHDEKSAN	kahdeksan
NOUN_AAMUKOLME	kolme
NOUN_AAMUKYMMENEN	kymmenen
NOUN_AAMUYHDEKSÄN	än
NOUN_AAMUYKSI	yksi
NOUN_AARRE	rre
NOUN_ACRO_AA	[Aa]
NOUN_ACRO_ÄÄ	[Ää]
NOUN_ACRO_ÄKS	[FLMNRŠSXŽflmnršsxž²³]
NOUN_ACRO_CELSIUS	.
NOUN_ACRO_DOLLARI	.
NOUN_ACRO_EE	[BCDEGPTVWbcdegptvw]
NOUN_ACRO_GRAMMA	.
NOUN_ACRO_GRAMMA	.
NOUN_ACRO_GRAY	.
NOUN_ACRO_II	[IJij]
NOUN_ACRO_JÄRJESTÖ	.
NOUN_ACRO_JOULE	.
NOUN_ACRO_KAHDEKSAN	8
NOUN_ACRO_KAKSI	2
NOUN_ACRO_KANDELA	.
NOUN_ACRO_KOLMAS	.
NOUN_ACRO_KOLME	3
NOUN_ACRO_KUUSI	6
NOUN_ACRO_LEHTI	.
NOUN_ACRO_LUSIKKA	.
NOUN_ACRO_METRI	.
NOUN_ACRO_NELJÄ	4
NOUN_ACRO_NOLLA	0
NOUN_ACRO_OIKEUS	.
NOUN_ACRO_OK	.
NOUN_ACRO_OO	[HKOÅhkoå]
NOUN_ACRO_ÖÖ	[Öö]
NOUN_ACRO_OPISTO	.
NOUN_ACRO_OPPILAS	.
NOUN_ACRO_PUNTA	.
NOUN_ACRO_SAIRAALA	.
NOUN_ACRO_SEITSEMÄN	.
NOUN_ACRO_TUOTE	.
NOUN_ACRO_UU	[QUqu]
NOUN_ACRO_VIISI	5
NOUN_ACRO_VUOSI	.
NOUN_ACRO_WEBER	.
NOUN_ACRO_YHDEKSÄN	9
NOUN_ACRO_YHDISTYS	.
NOUN_ACRO_YKSI	1
NOUN_ACRO_YY	[YÜyü]
NOUN_ACRO_ZET	[ZŽzž]
NOUN_ACRO_Ω	.
NOUN_AHDET	det
NOUN_AIKA	ika
NOUN_AIVOKUOLLUT	ut
NOUN_AIVOT	ot
NOUN_AJATAR	tar
NOUN_ALKEET	keet
NOUN_ALKU	ku
NOUN_ALLAS	las
NOUN_ALTIS	tis
NOUN_ANTIMET	ntimet
NOUN_APE	e
NOUN_APU	pu
NOUN_ARISTOTELES	es
NOUN_ARKI	ki
NOUN_ASEMA	a
NOUN_ASKAR
NOUN_ASKELLIN	llin
NOUN_ASTE	e
NOUN_ASUKAS	kas
NOUN_ASU	[Uuú]
NOUN_ATERIMET	met
NOUN_AUER	er
NOUN_ÄYRÄS	äs
NOUN_BÄNET	et
NOUN_BÉBÉ	.
NOUN_BEIGNET	.
NOUN_BERNIE	e
NOUN_BESSERWISSER
NOUN_BIDEE	ee
NOUN_BIKINIT	it
NOUN_BORDEAUX	.
NOUN_BRASSERIE	.
NOUN_BRIE	.
NOUN_CAMUS	.
NOUN_CHACHACHA	.
NOUN_YLEIS	.
NOUN_COWBOY
NOUN_DIMITRIS	s
NOUN_EKKE	ke
NOUN_ELÄMÄ	ä
NOUN_ELIN	n
NOUN_EPÄILTY	lty
NOUN_ESIM.	\.
NOUN_ESQUIMAU
NOUN_EUGENE
NOUN_FÄNRIKIT	it
NOUN_FARKUT	ut
NOUN_FARMARIT	it
NOUN_FIFA
NOUN_FONDUE
NOUN_FONDYY	yy
NOUN_GAY
NOUN_HAAKSI	ksi
NOUN_HÄÄT	äät
NOUN_HÄÄTÖ	tö
NOUN_HAI	i
NOUN_HÄIRIÖ	ö
NOUN_HAIT	it
NOUN_HÄKKI	ki
NOUN_HÄKKYRÄ	ä
NOUN_HÄMET	t
NOUN_HAMMAS	mmas
NOUN_HÄMMINKI	nki
NOUN_HÄNNÄT	nnät
NOUN_HÄNTÄ	ntä
NOUN_HAPAN	pan
NOUN_HAPPI	ppi
NOUN_HAPPO	ppo
NOUN_HAPSI	psi
NOUN_HÄRKIN	n
NOUN_HARMAAT	aat
NOUN_HÄVINNEET	neet
NOUN_HEITIN	tin
NOUN_HENKI	nki
NOUN_HEPO	po
NOUN_HIIRI	i
NOUN_HIPAT	pat
NOUN_HIRTTO	tto
NOUN_HIUTALEET	eet
NOUN_HOKSOTTIMET	et
NOUN_HÖLKKÄ	kkä
NOUN_HONKA	nka
NOUN_HOPEAT	eat
NOUN_HÖPÖTTÄJÄ	ä
NOUN_HORTA	rta
NOUN_HOUSUT	ut
NOUN_HÖYHENET	et
NOUN_HUOLITELTU	ltu
NOUN_HUPI	pi
NOUN_HYLJE	je
NOUN_HYLKY	ky
NOUN_HYNTTEET	tteet
NOUN_HYNTTYYT	ttyyt
NOUN_HYÖTYY	yy
NOUN_IEN	en
NOUN_IES	es
NOUN_IKENET	kenet
NOUN_IMMYT	mmyt
NOUN_INGET	nget
NOUN_ITÄMAAT	aat
NOUN_JÄÄTELÖ	ö
NOUN_JÄLSI	lsi
NOUN_JÄRJESTÖT	öt
NOUN_JÄRKI	ki
NOUN_JÄRVITAHDON	don
NOUN_JEPPE	ppe
NOUN_JOCKEY
NOUN_JOUKOT	ot
NOUN_JOUTSEN
NOUN_JUHLAT	at
NOUN_JUMALA	a
NOUN_JUOVAT	vat
NOUN_JYLKYT	kyt
NOUN_KÄÄDYT	dyt
NOUN_KÄÄNNIN	nnin
NOUN_KÄÄNTÖ	ntö
NOUN_KAARET	et
NOUN_KAARRET	rret
NOUN_KAARROT	rrot
NOUN_KÄKI	ki
NOUN_KALATOIN	toin
NOUN_KÄMMEKKÄ	kkä
NOUN_KAMPPEET	ppeet
NOUN_KANAALI	i
NOUN_KANGASALA	a
NOUN_KANGAS	ngas
NOUN_KANKAHAT	hat
NOUN_KANNEL	nnel
NOUN_KANNET	nnet
NOUN_KÄPÄLÄ	ä
NOUN_KÄPY	py
NOUN_KÄRÄJÄT	ät
NOUN_KÄRJET	jet
NOUN_KARRAT	rrat
NOUN_KÄRRY	[YÜyÿü]
NOUN_KÄRSÄKÄS	käs
NOUN_KÄSITE	e
NOUN_KASTANJETIT	tit
NOUN_KASTIKE	ke
NOUN_KASTILJAT	at
NOUN_KAUSI	si
NOUN_KEHVELI	i
NOUN_KELTIS	tis
NOUN_KENGÄT	ngät
NOUN_KENKÄ	nkä
NOUN_KENTÄT	tät
NOUN_KENTTÄ	ttä
NOUN_KERITSIMET	met
NOUN_KERROIN	rroin
NOUN_KERTA	rta
NOUN_KEVÄT	t
NOUN_KIDE	de
NOUN_KIELTO	lto
NOUN_KIERRE	rre
NOUN_KIERRIN	rrin
NOUN_KIHARAT	at
NOUN_KIHARRIN	rrin
NOUN_KIINNE	nne
NOUN_KIIRU	u
NOUN_KILPIKKÄÄT	kkäät
NOUN_KILPI	pi
NOUN_KINNAS	nnas
NOUN_KINNER	nner
NOUN_KIRITTÄRET	ttäret
NOUN_KIRJA	a
NOUN_KIRVES	es
NOUN_KITARA	a
NOUN_KIVI	i
NOUN_KLUMPIT	pit
NOUN_KOE	e
NOUN_KOKO	ko
NOUN_KOMPA	mpa
NOUN_KÖNGÄS	ngäs
NOUN_KÖÖ	öö
NOUN_KORPI	pi
NOUN_KORTES	tes
NOUN_KORTET	tet
NOUN_KORTTI	tti
NOUN_KORVET	vet
NOUN_KOUVOT	ot
NOUN_KÖYHYYS	ys
NOUN_KÖYSI	si
NOUN_KREUS	us
NOUN_KUITU	tu
NOUN_KUMMUT	mmut
NOUN_KUNGFU
NOUN_KUNNAT	nnat
NOUN_KUNTA	nta
NOUN_KUOPAT	pat
NOUN_KUOPPA	ppa
NOUN_KUPPI	ppi
NOUN_KUTSUNTA	nta
NOUN_KUULOKKEET	keet
NOUN_KUUS	s
NOUN_KYDÖT	döt
NOUN_KYKY	yky
NOUN_KYLÄNVANHIN	n
NOUN_KYLKIÄINEN	nen
NOUN_KYNNÄÄT	äät
NOUN_KYNNET	nnet
NOUN_KYSYNTÄ	ntä
NOUN_KYYNEL	l
NOUN_LÄÄKE	ke
NOUN_LAET	et
NOUN_LÄHDES	des
NOUN_LAHDET	det
NOUN_LÄHDET	det
NOUN_LÄHIN	in
NOUN_LAHTI	ti
NOUN_LAIDUN	dun
NOUN_LAKI	ki
NOUN_LAMMET	mmet
NOUN_LAMMI	mpi
NOUN_LÄMMIN	min
NOUN_LAMMIT	mmit
NOUN_LÄMPÖ	mpö
NOUN_LÄNGET	nget
NOUN_LANKA	nka
NOUN_LANNET	nnet
NOUN_LÄNSI	nsi
NOUN_LAPSI	psi
NOUN_LASIT	t
NOUN_LEHDET	det
NOUN_LEHTI	ti
NOUN_LEIKKUU	uu
NOUN_LEIPÄ	pä
NOUN_LENTTEE	ee
NOUN_LEPAKKO	kko
NOUN_LIEMI	mi
NOUN_LIITTOUTUNEET	neet
NOUN_LIIVIT	it
NOUN_LINGOT	ngot
NOUN_LINTU	ntu
NOUN_LIPEÄ	eä
NOUN_LIPOTTARET	ttaret
NOUN_LIPPU	ppu
NOUN_LIUKU	uku
NOUN_LIVVADIEVÁT	át
NOUN_LOKA	ka
NOUN_LOKKI	kki
NOUN_LOMMOL	mol
NOUN_LÖPÖ	pö
NOUN_LOTTE	tte
NOUN_LOUET	uet
NOUN_LUHDAT	dat
NOUN_LUKU	uku
NOUN_LUMME	mme
NOUN_LUODE	de
NOUN_LUODES	des
NOUN_LUOKKA	kka
NOUN_LUOLIKOT	kot
NOUN_LUPA	pa
NOUN_LUSIKKA	kka
NOUN_MAA	aa
NOUN_MÄET	et
NOUN_MAKKARA	a
NOUN_MAKU	ku
NOUN_MALKO	ko
NOUN_MALTAAT	ltaat
NOUN_MANNER	nner
NOUN_MÄNNYT	nnyt
NOUN_MÄNTY	nty
NOUN_MARKKINAT	at
NOUN_MÄTÄS	täs
NOUN_MATEE	e
NOUN_MATKUET	et
NOUN_MÄTTÄÄT	ttäät
NOUN_MERI	i
NOUN_MERTU	rtu
NOUN_METTE	tte
NOUN_MIEHET	iehet
NOUN_MIELENGE	nge
NOUN_MIELLE	lle
NOUN_MIES	ies
NOUN_MILJÖÖ	öö
NOUN_MILJÖÖT	ööt
NOUN_MITTA	tta
NOUN_MÖMMÖ	ö
NOUN_MONSIEUR
NOUN_MÖRKÖ	kö
NOUN_MULTA	lta
NOUN_MURTEET	rteet
NOUN_MUUNNIN	nnin
NOUN_MYRKKY	kky
NOUN_NÄKÖ	kö
NOUN_NÄKY	ky
NOUN_NÄLKÄ	kä
NOUN_NALLE	[Eeëěĕ]
NOUN_NEITSYT	yt
NOUN_NEUVOTTELUT	ut
NOUN_NIEMET	et
NOUN_NIHTI	ti
NOUN_NIITUT	tut
NOUN_NIITYT	tyt
NOUN_NIMETÖIN	töin
NOUN_NIMETÖN	tön
NOUN_NISSE	[Eeěë]
NOUN_NOKI	ki
NOUN_NOUGAT
NOUN_NUGAA	aa
NOUN_NUKKE	kke
NOUN_NYLJIN	jin
NOUN_OIKEUDET	det
NOUN_OLKA	ka
NOUN_OLUT	ut
NOUN_OMMEL	mmel
NOUN_ONKI	ki
NOUN_ONNET	net
NOUN_ONNI	i
NOUN_OOKOO	oo
NOUN_OPINNOT	nnot
NOUN_ORI	i
NOUN_OSATON	ton
NOUN_OSOITE	e
NOUN_PÄÄ	ää
NOUN_PAIKAT	at
NOUN_PANKIT	kit
NOUN_PARFAIT
NOUN_PATA	ta
NOUN_PATEE	ee
NOUN_PATSAS	as
NOUN_PEIPOT	pot
NOUN_PELKO	ko
NOUN_PELTI	lti
NOUN_PENGER	nger
NOUN_PERKEET	keet
NOUN_PIDOT	dot
NOUN_PIENNAR	nnar
NOUN_PIHDIT	dit
NOUN_PII	i
NOUN_PIIROA	[ôo]a
NOUN_PINSETIT	tit
NOUN_PIPPALOT	ot
NOUN_PISTE
