new_para	upos	pos	kotus_tn	kotus_av	plurale_tantum	grade_dir	harmony	stem_vowel	stem_diphthong	possessive	clitics
ADJ_RAITIS	ADJ	ADJECTIVE	41	C	False	strengthen	back	None	None	False	False
ADJ_RAMPA	ADJ	ADJECTIVE	9	H	False	weaken	back	a	None	False	False
ADJ_REHTI	ADJ	ADJECTIVE	5	F	False	weaken	front	None	None	False	False
ADJ_REIPAS	ADJ	ADJECTIVE	41	B	False	strengthen	back	None	None	False	False
ADJ_RIETAS	ADJ	ADJECTIVE	41	C	False	strengthen	back	None	None	False	False
ADJ_RIIVIÖ	ADJ	ADJECTIVE	3	None	False	weaken	front	None	None	False	False
ADJ_RUMA	ADJ	ADJECTIVE	10	None	False	weaken	back	a	None	False	False
ADJ_RÄVÄKKÄ	ADJ	ADJECTIVE	14	A	False	weaken	front	ä	None	False	False
ADJ_SANKA	ADJ	ADJECTIVE	9	G	False	weaken	back	a	None	False	False
ADJ_SIPPI	ADJ	ADJECTIVE	5	B	False	weaken	front	None	None	False	False
ADJ_SISIN	ADJ	ADJECTIVE	36	None	False	strengthen	front	None	None	False	False
ADJ_STYDI	ADJ	ADJECTIVE	5	None	False	weaken	front	None	None	False	False
ADJ_SUIPPO	ADJ	ADJECTIVE	1	B	False	weaken	back	None	None	False	False
ADJ_SUOMALAINEN	ADJ	ADJECTIVE	38	None	False	strengthen	back	None	None	False	False
ADJ_SUURI	ADJ	ADJECTIVE	24	None	False	weaken	back	None	None	False	False
ADJ_SUURI	ADJ	ADJECTIVE	26	None	False	weaken	back	None	None	False	False
ADJ_SYMPPIS	ADJ	ADJECTIVE	39	None	False	strengthen	front	None	None	False	False
ADJ_SYYPÄÄ	ADJ	ADJECTIVE	18	None	False	weaken	front	ä	None	False	False
ADJ_SÄIKKY	ADJ	ADJECTIVE	1	A	False	weaken	front	None	None	False	False
ADJ_SÄKKÄRÄ	ADJ	ADJECTIVE	11	None	False	weaken	front	ä	None	False	False
ADJ_TARKKA	ADJ	ADJECTIVE	9	A	False	weaken	back	a	None	False	False
ADJ_TARKKA	ADJ	ADJECTIVE	9	D	False	weaken	back	a	None	False	False
ADJ_TERVE	ADJ	ADJECTIVE	48	None	False	strengthen	front	None	None	False	False
ADJ_TERÄVÄ	ADJ	ADJECTIVE	10	None	False	weaken	front	ä	None	False	False
ADJ_TIIVIS	ADJ	ADJECTIVE	41	None	False	strengthen	front	None	None	False	False
ADJ_TOOPE	ADJ	ADJECTIVE	8	None	False	weaken	back	None	None	False	False
ADJ_TUHTI	ADJ	ADJECTIVE	5	F	False	weaken	back	None	None	False	False
ADJ_TUMMAHKO	ADJ	ADJECTIVE	1	None	False	weaken	back	None	None	False	False
ADJ_TURTA	ADJ	ADJECTIVE	10	K	False	weaken	back	a	None	False	False
ADJ_TYHMÄ	ADJ	ADJECTIVE	10	None	False	weaken	front	ä	None	False	False
ADJ_TYVEN	ADJ	ADJECTIVE	32	None	False	strengthen	front	None	None	False	False
ADJ_TYYLIKÄS	ADJ	ADJECTIVE	41	A	False	strengthen	front	None	None	False	False
ADJ_TYÖLÄS	ADJ	ADJECTIVE	41	None	False	strengthen	front	None	None	False	False
ADJ_TÄYSI	ADJ	ADJECTIVE	27	None	False	weaken	front	None	None	False	False
ADJ_UUSI	ADJ	ADJECTIVE	27	None	False	weaken	back	None	None	False	False
ADJ_VALKAISTU	ADJ	ADJECTIVE	1	None	False	weaken	back	None	None	False	False
ADJ_VALMIS	ADJ	ADJECTIVE	41	None	False	strengthen	back	None	None	False	False
