lemma	homonym	original-ktn
pahaputki	2	50
paksulehti	1	50
paksusuoli	1	50
palavakivi	2	50
palavapensas	2	50
palavarakkaus	2	50
palavatpensaat	1	50
palsamijalokuusi	1	50
pehmytkudos	1	50
pieksää	1	54
pitkä	1	10
pitkähöylä	1	50
pitkäkirkko	2	50
pitkäpalko	1	50
pitkäperjantai	2	50
pitkäpiimä	2	50
pitkäsiima	2	50
pitkätakki	2	50
pitkäthousut	2	50
pitkätukka	1	50
poika	1	10
puhdastila	1	50
puhdasviljelmä	1	50
puhdasviljely	1	50
puola	1	10
puola	2	10
puolihoito	1	50
puolikuu	2	50
puolimatka	2	50
puoli	1	26
puolipäivä	2	50
puolivapaapäivä	1	50
puoliväli	2	50
raaka-aine	1	50
raakakahvi	1	50
raakakakku	1	50
raakakivi	1	50
raakakopio	1	50
raakakuitu	1	50
raakakumi	1	50
raakakupari	1	50
raakakypsytys	1	50
raakakäännös	1	50
raakalauta	1	50
raakamaa	1	50
raakamakkara	1	50
raakamalmi	1	50
raakametalli	1	50
raakanahka	1	50
raakanahka	2	50
raakanahka	3	50
raakanahka	4	50
raakapakaste	1	50
raakapihvi	1	50
raakapuu	1	50
raakapuuro	1	50
raakaraaste	1	50
raakarauta	1	50
raakaravinto	1	50
raakasilkki	1	50
raakasokeri	1	50
raakasose	1	50
raakatislaus	1	50
raakavedos	1	50
raakavesi	1	50
raakaöljy	1	50
raatihuonevilliviini	1	50
radikaalileikkaus	1	50
raitisilma	2	50
rajuilma	1	50
rankkasade	1	50
raskasmetalli	1	50
raskassarja	2	50
raskasvesi	2	50
raskasvety	2	50
rikasilmeinen	1	18
ruotsinpitkäpalko	1	50
ruskeakieli	1	50
saksanjalokuusi	1	50
selväkieli	1	50
selvänäkijä	1	50
selvänäkö	1	50
sepiväpeippi	2	50
sokeapainatus	1	50
soopa	1	99
sotakorkeakoulu	1	50
suippokaari	1	50
suippolakki	1	50
suippotorni	1	50
sulahitsaus	1	50
sulavesi	1	50
suora-ammunta	1	50
suorakaide	1	50
suorakauppa	1	50
suorakorvaus	1	50
suorakulmain	1	50
suorakulma	2	50
suorakulmio	1	50
suorakäyttö	1	50
suoramainonta	1	50
suoramainos	1	50
suoramarkkinointi	1	50
suoramyynti	1	50
suoraommel	2	50
suorasuihkutus	1	50
suorasuu	1	50
suorasuuntaus	1	50
suoraveloitus	1	50
suuriruhtinas	1	50
suuriruhtinatar	1	50
syväasfaltti	1	50
syväauraus	1	50
syvähaastattelu	1	50
syvähengitys	1	50
syväkairaus	1	50
syväkivilaji	1	50
syväluotaus	1	50
syvämeri	2	50
syvämuokkaus	1	50
syväonginta	1	50
syväonki	1	50
syväpainanta	1	50
syväpaino	1	50
syvärakenne	1	50
syväsatama	1	50
syvätarkkuus	1	50
syväväylä	1	50
särkyneetsydämet	1	50
särkynytsydän	2	50
taajahylly	1	50
tarkka-ampuja	1	50
tarkkavaaitus	1	50
tekojalokivi	1	50
tenä	1	99
tiukkailmeinen	1	18
tiukkapipo	1	50
toka	1	99
totaalikieltäytyjä	1	50
tummasilmä	1	50
tummatukka	1	50
tuore-elintarvike	1	50
tuorejuusto	1	50
tuoremehu	1	50
tuorepaino	1	50
tuorepasta	1	50
tuorepuuro	1	50
tuoreravinto	1	50
tuorerehu	1	50
tuoreruokinta	1	50
tuoresose	1	50
tuoresuolaus	1	50
tuoretavara	1	50
tuoretuote	1	50
tuoreveri	1	50
tyhjäkäynti	1	50
tyhjäpaino	2	50
tyhjäsuoli	1	50
tyhjätasku	1	50
täysihoito	1	50
täysikuu	2	50
uniikkikappale	1	50
universaalitiede	1	50
uusikuu	2	50
uusivuosi	2	50
vajaakäyttö	1	50
vajaaravitsemus	1	50
vajaatoiminta	1	50
vajaatyöllisyys	1	50
vakavailmeinen	1	18
valmisateria	1	50
valmisbetoni	1	50
valmismatka	1	50
valmisosa	1	50
valmispuku	1	50
valmisruoka	1	50
valmistalo	1	50
valmisvaate	1	50
vanhaemäntä	2	50
vanhaisäntä	2	50
vanhakaupunki	2	50
vanhapiika	2	50
vanhapoika	2	50
vanhasuomalainen	1	50
vapaa-aika	1	50
vapaa-ajattelija	1	50
vapaa-ajattelu	1	50
vapaaheitto	1	50
vapaaherra	1	50
vapaaherratar	1	50
vapaahetki	1	50
vapaailta	1	50
vapaakappale	1	50
vapaakauppa	1	50
vapaakaupunki	1	50
vapaakiipeily	1	50
vapaakirkko	1	50
vapaakivääri	1	50
vapaakunta	1	50
vapaakytkin	1	50
vapaakyyti	1	50
vapaalippu	1	50
vapaaluistelu	1	50
vapaalyönti	1	50
vapaamatkustaja	1	50
vapaamuurari	1	50
vapaaohjelma	1	50
vapaaopisto	1	50
vapaaoppilas	1	50
vapaaosake	1	50
vapaapaini	1	50
vapaapalokunta	1	50
vapaapistooli	1	50
vapaapotku	1	15
vapaapäivä	1	50
vapaasatama	1	50
vapaataival	1	50
vapaatanssi	1	50
vapaatunti	1	50
vapaauinti	1	50
vapaavarasto	1	50
vapaavarsi	1	50
vapaavuoro	1	50
vapaavuosi	1	50
velinen	1	99
veli	1	7
veri	1	26
vierasaine	1	50
vierasesine	1	50
vieraskenttä	1	50
vierasmies	2	50
vierassana	1	50
vierastyöläinen	1	50
vierastyövoima	1	50
vihantalannoitus	1	50
vihantarehu	1	50
viileäkaappi	1	50
viistolasku	1	50
viistoperä	1	50
viistopinta	1	50
viistorivi	1	50
viistosauma	1	50
villieläin	1	50
villihanhi	1	50
villihevonen	1	50
villi-ihminen	1	50
villikaali	1	50
villikarju	1	50
villikissa	1	50
villilapsi	1	50
villimehiläinen	1	50
villiminkki	1	50
villiomena	1	50
villipeto	1	50
villipeura	1	50
villiruusu	1	50
villisika	1	50
villisilkki	1	50
villivarsa	1	50
villivihannes	1	50
villiviini	1	50
vinokaitale	1	50
vinokatto	1	50
vinoköysisilta	1	50
vinolaudoitus	1	50
vinolehti	1	50
vinonauha	1	50
vinoneliö	1	50
vinopaikoitus	1	50
vinopysäköinti	1	50
vinoristi	1	50
vinoruutu	1	50
vinosilmä	1	50
vinosuuntaus	1	50
vinotuki	1	50
vinoviiva	1	50
vinoviivoitus	1	50
vähäilmeinen	1	18
vääräsääri	1	50
yksi-ilmeinen	1	18
