lemma	homonym	argument
autoklavoida	1	intransitive
autolysoitua	1	intransitive
automaattistaa	1	intransitive
automaattistua	1	intransitive
automatisoida	1	intransitive
automatisoitua	1	intransitive
auttaa	1	intransitive
autuuttaa	1	intransitive
avartaa	1	intransitive
avartua	1	intransitive
avata	1	intransitive
avautua	1	intransitive
avioitua	1	intransitive
avittaa	1	intransitive
avustaa	1	intransitive
bagatellisoida	1	intransitive
bailata	1	intransitive
balansoida	1	intransitive
balkanisoida	1	intransitive
balsamoida	1	intransitive
banaalistaa	1	intransitive
banaalistua	1	intransitive
banalisoida	1	intransitive
banalisoitua	1	intransitive
batiikkivärjätä	1	intransitive
betonoida	1	intransitive
bilettää	1	intransitive
bingota	1	intransitive
bituminoida	1	intransitive
bitumoida	1	intransitive
blandata	1	intransitive
blanseerata	1	intransitive
blasonoida	1	intransitive
blogata	1	intransitive
blokata	1	intransitive
blokkiintua	1	intransitive
blokkiutua	1	intransitive
blondata	1	intransitive
bluffata	1	intransitive
bodata	1	intransitive
bodysurffata	1	intransitive
boikotoida	1	intransitive
bongata	1	intransitive
bootata	1	intransitive
breikata	1	intransitive
breseerata	1	intransitive
briljeerata	1	intransitive
brodeerata	1	intransitive
bromata	1	intransitive
brutalisoida	1	intransitive
budjetoida	1	intransitive
butyloida	1	intransitive
buuata	1	intransitive
buukata	1	intransitive
byrokraattistaa	1	intransitive
byrokraattistua	1	intransitive
byrokratisoida	1	intransitive
byrokratisoitua	1	intransitive
chatata	1	intransitive
damaskoida	1	intransitive
dateerata	1	intransitive
deaktivoida	1	intransitive
deaminoida	1	intransitive
debytoida	1	intransitive
definioida	1	intransitive
deflatoida	1	intransitive
deformoida	1	intransitive
degeneroida	1	intransitive
degeneroitua	1	intransitive
dehydratoida	1	intransitive
deionisoida	1	intransitive
deittailla	1	intransitive
dekantoida	1	intransitive
deklamoida	1	intransitive
dekonstruoida	1	intransitive
dekontaminoida	1	intransitive
dekoodata	1	intransitive
dekriminalisoida	1	intransitive
dekryptata	1	intransitive
delata	1	intransitive
delegoida	1	intransitive
delokalisoida	1	intransitive
demagnetoida	1	intransitive
dementoida	1	intransitive
dementoitua	1	intransitive
demilitarisoida	1	intransitive
demineralisoida	1	intransitive
demobilisoida	1	intransitive
demoduloida	1	intransitive
demokraattistaa	1	intransitive
demokraattistua	1	intransitive
demokratisoida	1	intransitive
demokratisoitua	1	intransitive
demonetisoida	1	intransitive
demonisoida	1	intransitive
demonstroida	1	intransitive
demoralisoida	1	intransitive
demoralisoitua	1	intransitive
demyelisoida	1	intransitive
demystifioida	1	intransitive
demytologisoida	1	intransitive
denaturoida	1	intransitive
denitrifioida	1	intransitive
denitroida	1	intransitive
