lemma	NOUN	blacklist
Hellä	PROPN	propn-blocking
Helmi	PROPN	propn-blocking
Helminauha	PROPN	propn-blocking
Helvetti	PROPN	propn-blocking
Hely	PROPN	propn-blocking
Hemmo	PROPN	propn-blocking
Hemppo	PROPN	propn-blocking
Hento	PROPN	propn-blocking
Hepo	PROPN	propn-blocking
Herastuomari	PROPN	propn-blocking
Herkkä	PROPN	propn-blocking
Hermo	PROPN	propn-blocking
Herne	PROPN	propn-blocking
Herra	PROPN	propn-blocking
Herttaässä	PROPN	propn-blocking
Herttua	PROPN	propn-blocking
Herukka	PROPN	propn-blocking
Hete	PROPN	propn-blocking
Hevosenkenkä	PROPN	propn-blocking
Hevosurheilu	PROPN	propn-blocking
Hiekka	PROPN	propn-blocking
Hiekkaharju	PROPN	propn-blocking
Hiekkamaa	PROPN	propn-blocking
Hiekkanummi	PROPN	propn-blocking
Hiekkapohja	PROPN	propn-blocking
Hiekkaranta	PROPN	propn-blocking
Hiekkasärkkä	PROPN	propn-blocking
Hiekkatörmä	PROPN	propn-blocking
Hieno	PROPN	propn-blocking
Hietamaa	PROPN	propn-blocking
Hietikko	PROPN	propn-blocking
Hihna	PROPN	propn-blocking
Hiidenkirnu	PROPN	propn-blocking
Hiidenkivi	PROPN	propn-blocking
Hiihtari	PROPN	propn-blocking
Hiihtomaja	PROPN	propn-blocking
Hiili	PROPN	propn-blocking
Hiilistö	PROPN	propn-blocking
Hiillos	PROPN	propn-blocking
Hiippa	PROPN	propn-blocking
Hiippakunta	PROPN	propn-blocking
Hiirakko	PROPN	propn-blocking
Hiirenhäntä	PROPN	propn-blocking
Hiiri	PROPN	propn-blocking
Hiiva	PROPN	propn-blocking
Hikka	PROPN	propn-blocking
Hila	PROPN	propn-blocking
Hilkka	PROPN	propn-blocking
Hilla	PROPN	propn-blocking
Hilleri	PROPN	propn-blocking
Hillo	PROPN	propn-blocking
Himmeli	PROPN	propn-blocking
Himo	PROPN	propn-blocking
Hinkki	PROPN	propn-blocking
Hinkuttaja	PROPN	propn-blocking
Hippa	PROPN	propn-blocking
Hippi	PROPN	propn-blocking
Hippula	PROPN	propn-blocking
Hiprakka	PROPN	propn-blocking
Hirmu	PROPN	propn-blocking
Hirmuinen	PROPN	propn-blocking
Hirvas	PROPN	propn-blocking
Hirvenpää	PROPN	propn-blocking
Hirvi	PROPN	propn-blocking
Hirvikanta	PROPN	propn-blocking
Hirvivaara	PROPN	propn-blocking
Hirviö	PROPN	propn-blocking
Hissa	PROPN	propn-blocking
Hissi	PROPN	propn-blocking
Hiukka	PROPN	propn-blocking
Hiukkanen	PROPN	propn-blocking
Hohka	PROPN	propn-blocking
Hoikka	PROPN	propn-blocking
Hoitola	PROPN	propn-blocking
Hollanti	PROPN	propn-blocking
Holvisto	PROPN	propn-blocking
Home	PROPN	propn-blocking
Homma	PROPN	propn-blocking
Homo	PROPN	propn-blocking
Hongikko	PROPN	propn-blocking
Honka	PROPN	propn-blocking
Honkainen	PROPN	propn-blocking
Hopeakanta	PROPN	propn-blocking
Hopeaselkä	PROPN	propn-blocking
Hopeasilmä	PROPN	propn-blocking
Hoppa	PROPN	propn-blocking
Hoppu	PROPN	propn-blocking
Horna	PROPN	propn-blocking
Horsma	PROPN	propn-blocking
Hotelli	PROPN	propn-blocking
Houkka	PROPN	propn-blocking
Hourula	PROPN	propn-blocking
Housunpuntti	PROPN	propn-blocking
Housut	PROPN	propn-blocking
Hovi	PROPN	propn-blocking
Huhmar	PROPN	propn-blocking
Huhmare	PROPN	propn-blocking
Hui	PROPN	propn-blocking
Huijari	PROPN	propn-blocking
Huikka	PROPN	propn-blocking
Huilu	PROPN	propn-blocking
Huima	PROPN	propn-blocking
Huippu	PROPN	propn-blocking
Huiska	PROPN	propn-blocking
Huisku	PROPN	propn-blocking
Huitukka	PROPN	propn-blocking
Hujakka	PROPN	propn-blocking
Hukka	PROPN	propn-blocking
Hukki	PROPN	propn-blocking
Hula	PROPN	propn-blocking
Humala	PROPN	propn-blocking
Humalainen	PROPN	propn-blocking
Humalisto	PROPN	propn-blocking
Humina	PROPN	propn-blocking
Humiseva	PROPN	propn-blocking
Humma	PROPN	propn-blocking
Hummeri	PROPN	propn-blocking
Huntti	PROPN	propn-blocking
Huoku	PROPN	propn-blocking
Huoli	PROPN	propn-blocking
Huomenlahja	PROPN	propn-blocking
Huopainen	PROPN	propn-blocking
Hupa	PROPN	propn-blocking
Hupeneva	PROPN	propn-blocking
Hurja	PROPN	propn-blocking
Hurma	PROPN	propn-blocking
Hurme	PROPN	propn-blocking
Hurri	PROPN	propn-blocking
Hurtta	PROPN	propn-blocking
Hurtti	PROPN	propn-blocking
Huti	PROPN	propn-blocking
Huttu	PROPN	propn-blocking
Huuhkaja	PROPN	propn-blocking
Huurre	PROPN	propn-blocking
Huussi	PROPN	propn-blocking
Huutaja	PROPN	propn-blocking
Huuti	PROPN	propn-blocking
Huutolainen	PROPN	propn-blocking
Huvi	PROPN	propn-blocking
Huvila	PROPN	propn-blocking
Hybridi	PROPN	propn-blocking
Hyeena	PROPN	propn-blocking
Hylly	PROPN	propn-blocking
Hymiö	PROPN	propn-blocking
Hymy	PROPN	propn-blocking
Hyppynen	PROPN	propn-blocking
Hyppyrimäki	PROPN	propn-blocking
Hyrrä	PROPN	propn-blocking
Hyrsky	PROPN	propn-blocking
Hytti	PROPN	propn-blocking
Hytykkä	PROPN	propn-blocking
Hyväkasvuinen	PROPN	propn-blocking
Hyvänen	PROPN	propn-blocking
Hyypiö	PROPN	propn-blocking
Hyöty	PROPN	propn-blocking
Häikkä	PROPN	propn-blocking
Häivä	PROPN	propn-blocking
Häkki	PROPN	propn-blocking
Hämy	PROPN	propn-blocking
Hämähäkki	PROPN	propn-blocking
Hämärä	PROPN	propn-blocking
Hännänpää	PROPN	propn-blocking
Hännätön	PROPN	propn-blocking
Häntyri	PROPN	propn-blocking
