lemma	homonym	plurale_tantum
Edussaaret	1	obligatory
edustuskulut	1	obligatory
edustusmenot	1	obligatory
eebenpuukasvi	1	common
Eekinkankaat	1	obligatory
Eeleksenlammit	1	obligatory
Eelinlammit	1	obligatory
Eeliskerin Pohjakarit	1	obligatory
Eemelinkalliot	1	obligatory
Eerokivet	1	obligatory
Eerola-yhtiöt	1	obligatory
Eeronlammit	1	obligatory
Eeronpellot	1	obligatory
Eeronsaaret	1	obligatory
Eevanluodot	1	obligatory
Eevanniitut	1	obligatory
Eevansaaret	1	obligatory
Egeansaaret	1	obligatory
Ehatoksenniityt	1	obligatory
Ehkittämäharjut	1	obligatory
ehtoollisastiat	1	obligatory
Ekhammarinpellot	1	obligatory
Ekokalliot	1	obligatory
Ekologinen puolue Vihreät	1	obligatory
Ekruutinmäet	1	obligatory
Eksymäkukkulat	1	obligatory
Eksymälammit	1	obligatory
Eksyttäjänkalliot	1	obligatory
elamilainen	1	common
ele	1	common
Elektroniikan tukkukauppiaat	1	obligatory
Eliaksensalmenluolikot	1	obligatory
Elianlamminahot	1	obligatory
Elianlammit	1	obligatory
Eliasaavankummut	1	obligatory
elinkustannukset	1	obligatory
Elinlamminkankaat	1	obligatory
Eljaksenkivet	1	obligatory
elje	1	common
Ellinharjut	1	obligatory
Ellinkivet	1	obligatory
Ellinluodot	1	obligatory
Ellinsaaret	1	obligatory
Ellunkalliot	1	obligatory
elokuvafestivaalit	1	obligatory
Elokuvajournalistit	1	obligatory
elokuvajuhlat	1	obligatory
elvytystoimi	1	common
elähtänyt	1	obligatory
Eläkeläiset	1	obligatory
Emiraatit	1	obligatory
Energiameklarit	1	obligatory
Englanninkuopat	1	obligatory
Engviikinpellot	1	obligatory
enkelinkiharat	1	obligatory
Enkelvuoret	1	obligatory
Enonsaaret	1	obligatory
ensikengät	1	obligatory
Enviikinkarit	1	obligatory
Enviikinpellot	1	obligatory
Erijärvet	1	obligatory
erikoistumisopinnot	1	obligatory
erillislaite	1	common
erinykset	1	obligatory
erinäinen	1	common
Eriparivanhemmat	1	obligatory
eritasonojapuut	1	obligatory
Erkinluodot	1	obligatory
Erkinsaaret	1	obligatory
Erkkilänmetsänkalliot	1	obligatory
Erkylänlukot	1	obligatory
erojaiset	1	obligatory
Eräjärvenlammet	1	obligatory
Eräkalliot	1	obligatory
Erämänniköt	1	obligatory
Esansaaret	1	obligatory
esihyönteinen	1	common
esikaupunkilainen	1	common
esikisat	1	obligatory
esikkokasvi	1	common
esivanhemmat	1	obligatory
Eskelisennivat	1	obligatory
Eskonkalliot	1	obligatory
Eskonlammit	1	obligatory
Eskonluodot	1	obligatory
Espoon Moottorilentäjät	1	obligatory
Espoon Tapiot	1	obligatory
ES-Projektit	1	obligatory
Etanakummut	1	obligatory
Eteissaaret	1	obligatory
eteläamerikanisohylkeet	1	obligatory
Eteläiset Sandwichsaaret	1	obligatory
Eteläkaistot	1	obligatory
Eteläkorvet	1	obligatory
Etelälahdenkalliot	1	obligatory
Etelälahdenniityt	1	obligatory
Etelämäenpellot	1	obligatory
etelänkeiju	1	common
