lemma	homonym	boundaries
aerosolipakkaus	1	aerosoli{WB}pakkaus
aerosolipommi	1	aerosoli{WB}pommi
aerosolipullo	1	aerosoli{WB}pullo
aerosoliräjähde	1	aerosoli{WB}räjähde
aerosolitölkki	1	aerosoli{WB}tölkki
afebriili	1	a{XB}febriili
affektihäiriö	1	affekti{WB}häiriö
affenpinseri	1	affen{WB}pinseri
affrikaatta	1	af{WB}frikaatta
afgaaninvinttikoira	1	afgaanin{WB}vintti{WB}koira
afgaaniturkki	1	afgaani{WB}turkki
aforismikokoelma	1	aforismi{WB}kokoelma
afrikannorsu	1	afrikan{WB}norsu
afrikanpingviini	1	afrikan{WB}pingviini
afrikkalaisamerikkalainen	1	afrikkalais{WB}amerikkalainen
afroaasialainen	1	afro{WB}aasialainen
afroaasialainen	2	afro{WB}aasialainen
afroamerikkalainen	1	afro{WB}amerikkalainen
afroamerikkalainen	2	afro{WB}amerikkalainen
afrokampaus	1	afro{WB}kampaus
afrokommunismi	1	afro{WB}kommunismi
afroperuukki	1	afro{WB}peruukki
AfterStep	1	After{WB}Step
agarmalja	1	agar{WB}malja
ageneesi	1	a{XB}geneesi
agenttifilmi	1	agentti{WB}filmi
agenttiromaani	1	agentti{WB}romaani
agenttirooli	1	agentti{WB}rooli
agentuuriliike	1	agentuuri{WB}liike
agglutinogeeni	1	agglutino{XB}geeni
agglutinoida	1	ag{WB}glutinoida
aggregaatti	1	ag{WB}gregaatti
aggressiivinen	1	ag{WB}gressiivinen
aggressio	1	ag{WB}gressio
agorafobia	1	agora{WB}fobia
agraaripolitiikka	1	agraari{WB}politiikka
agraaripuolue	1	agraari{WB}puolue
agraarivaltio	1	agraari{WB}valtio
agranulosytoosi	1	a{WB}granulo{WB}sytoosi
agroekologi	1	agro{WB}ekologi
agroekologia	1	agro{WB}ekologia
agrogeologi	1	agro{WB}geologi
agrogeologia	1	agro{WB}geologia
ahaa-elämys	1	ahaa-elämys
ahdashenkinen	1	ahdas{WB}henkinen
ahdashenkisesti	1	ahdas{WB}henkisesti
ahdashenkisyys	1	ahdas{WB}henkisyys
ahdaskatseinen	1	ahdas{WB}katseinen
ahdaskulmaglaukooma	1	ahdas{WB}kulma{WB}glaukooma
ahdasmielinen	1	ahdas{WB}mielinen
ahdasmielisesti	1	ahdas{WB}mielisesti
ahdasmielisyys	1	ahdas{WB}mielisyys
ahdasnäköinen	1	ahdas{WB}näköinen
ahdasnäköisesti	1	ahdas{WB}näköisesti
ahdasnäköisyys	1	ahdas{WB}näköisyys
ahdasrajainen	1	ahdas{WB}rajainen
ahdasrajaisesti	1	ahdas{WB}rajaisesti
