lemma	new_para	original-ktn
kylmäkaappi	N_KUPPI	50
kylmäkalle	N_ASTE	50
kylmäkaluste	N_ASTE	50
kylmäkassi	N_RUUVI	50
kylmäketju	N_ASU	50
kylmäkomero	N_RUIPELO	50
kylmäkoneisto	N_TALO	50
kylmäkone	N_ASTE	50
kylmäkuivaus	N_VAKUUTUS	50
kylmäkuljetus	N_VAKUUTUS	50
kylmäkäsittely	N_KÄRRY	50
kylmäkäynnistys	N_RÄJÄYTYS	50
kylmälaite	N_OSOITE	50
kylmälaukku	N_TIKKU	50
kylmälava	N_KIRJA	50
kylmämuokkaus	N_VAKUUTUS	50
kylmäniittaus	N_VAKUUTUS	50
kylmäpihatto	N_HIRTTO	50
kylmäpiste	N_PISTE	50
kylmäpuristus	N_VAKUUTUS	50
kylmäpöytä	N_PÖYTÄ	50
kylmäsavustus	N_VAKUUTUS	50
kylmäseos	N_VAKUUTUS	50
kylmäsilta	N_VALTA	50
kylmäsäiliö	N_HÄIRIÖ	50
kylmäsäilytys	N_RÄJÄYTYS	50
kylmätaonta	N_KUTSUNTA	50
kylmätekniikka	N_LUSIKKA	50
kylmätila	N_KIRJA	50
kylmätiski	N_TYYLI	50
kylmätyöstö	N_MÖMMÖ	50
kylmävalssaus	N_VAKUUTUS	50
kylmävaraaja	N_VOIMA	50
kylmävarasto	N_TALO	50
kymi	N_KIVI	75
kymmenes	N_RÄJÄYTYS	45
kymmenesNUM_NELJÄS45
kyömynenä	N_HÖPÖTTÄJÄ	50
kähäräendiivi	N_TYYLI	50
kähäräpää	N_PÄÄ	50
käkkyrämänty	N_MÄNTY	50
käkkärämänty	N_MÄNTY	50
käsikynkkä	N_HÖLKKÄ	99
käyrätorvi	N_ONNI	50
kääpiöjaloangervo	N_RUIPELO	50
kääpiövillikissa	N_KIRJA	50
köyryniska	N_KIRJA	50
köyryselkä	N_HÖPÖTTÄJÄ	50
laajakulma	N_VOIMA	50
laiskajaakko	N_UKKO	50
laiskakoira	N_VOIMA	51
laiskamato	N_VETO	50
lentävätkoirat	N_JUHLAT	51
liberaaliteologia	N_MAKKARA	50
liejupahaputki	N_ONNI	50
liika	PCLE_VAAN	9
liika	N_VIKA	9
live	PCLE_VAAN	48
live	N_VIIVE	48
lyhytelokuva	N_VOIMA	50
lyhytfilmi	N_TYYLI	50
lyhytkirurgia	N_MAKKARA	50
lyhytnumero	N_STADION	50
lyhytohjelma	N_VOIMA	50
lyhytproosa	N_VOIMA	50
lyhyttavara	N_MAKKARA	50
lyhytterapia	N_MAKKARA	50
lypsää	V_KIVISTÄÄ	54
lämminruoka	N_RUOKA	51
lämminvarasto	N_TALO	50
lämminvarasto	N_TALO	51
lämminvaunu	N_ASU	50
lämminvaunu	N_ASU	51
maPRO	N_MA	99
matalajännite	N_KÄSITE	50
matalakirkollisuus	N_AAKKOSELLISUUS	50
matalalento	N_TUNTO	50
matalameri	N_MERI	51
matalameri	N_MERI	51
matalamielisyys	N_KÖYHYYS	50
matalapaine	N_ASTE	50
matalasuhdanne	N_RAKENNE	50
matalatorjunta	N_KUTSUNTA	50
meltorauta	N_KIRJA	50
meri	N_MERI	24
miPRO	N_KOKO	99
mikäkinPRO	N_MIKÄKIN	99
miss	PCLE_VAAN	99
miss	N_ZEN	99
moni-ilmeinen	A_KYLMÄJÄRKINEN	18
montaPRO	N_MONTA	99
muorinen	N_AAKKOSTAMINEN	99
mustaherukka	N_LUSIKKA	50
mustaherukka	N_LUSIKKA	51
mustajalopähkinä	N_HÄKKYRÄ	50
mustajuuri	N_RUUHI	50
mustaleipä	N_LEIPÄ	51
mustaleski	N_KIVI	51
mustalintu	N_LINTU	50
mustalintu	N_LINTU	51
mustamaalaus	N_VAKUUTUS	50
mustamaija	N_KIRJA	51
mustamakkara	N_KITARA	50
mustamakkara	N_KITARA	51
mustamies	N_MIES	51
mustamulta	N_VOIMA	51
mustapaita	N_KIRJA	50
mustapekka	N_POLITIIKKA	51
mustapippuri	N_KANAALI	50
mustapippuri	N_KANAALI	51
mustarastas	N_PATSAS	50
mustarousku	N_ASU	50
mustaruuti	N_TAUTI	50
mustasilmä	N_HÖPÖTTÄJÄ	50
mustatorvisieni	N_KIVI	51
mustavaris	N_VAKUUTUS	50
mustaviinimarja	N_KIRJA	51
mykkäelokuva	N_VOIMA	50
mykkäfilmi	N_TYYLI	50
mykkäkoulu	N_ASU	50
märkähionta	N_KUTSUNTA	50
märkäluja	A_RUMA	50
märkälujuus	N_AAKKOSELLISUUS	50
märkäpesu	N_ASU	50
märkäpuku	N_LUKU	50
märkätila	N_KIRJA	50
mätämuna	N_VOIMA	50
normaalijakauma	N_VOIMA	50
normaalijakautuma	N_VOIMA	50
normaalikoko	N_KOKO	50
normaalikoulu	N_ASU	50
normaalilyseo	N_TUOMIO	50
normaalilämpö	N_LÄMPÖ	50
normaalimäki	N_KÄKI	50
normaaliobjektiivi	N_RUUVI	50
normaaliolot	N_AIVOT	50
normaalipaino	N_TALO	50
normaalipituus	N_AAKKOSELLISUUS	50
normaalisävel	N_SIEMEN	50
normaalitapaus	N_VAKUUTUS	50
normaalivahvuus	N_AAKKOSELLISUUS	50
normaalivauhti	N_TAUTI	50
nuoriemäntä	N_HÄNTÄ	51
nuoriherra	N_KIRJA	51
nuori-isäntä	N_HÄNTÄ	51
nuorikarja	N_KIRJA	51
nuorimies	N_MIES	51
nuoripari	N_RUUVI	51
nuoskakeli	N_TYYLI	50
nuoskalumi	N_TAIMI	50
nuoskasää	N_PÄÄ	50
ohutkalvo	N_TALO	50
ohutsuoli	N_RUUHI	50
olla	V_OLLA	67
omaelämäkerta	N_KERTA	50
omahoitaja	N_VOIMA	50
omahoito	N_VETO	50
omailmeinen	A_KYLMÄJÄRKINEN	18
omakehu	N_ASU	50
omakustanne	N_RAKENNE	50
omakustannukset	N_SERKUKSET	50
omakuva	N_VOIMA	50
omakuva	N_VOIMA	51
omalääkäri	N_TYYLI	50
omapaino	N_TALO	50
omarahoitus	N_VAKUUTUS	50
omatunto	N_TUNTO	51
omavastuu	N_LEIKKUU	50
pahahenki	N_HENKI	51
pahaputki	N_ONNI	50
pahaputki	N_ONNI	51
pai	PCLE_HAH	18
pai	N_HAI	18
paksulehti	N_LEHTI	50
paksusuoli	N_RUUHI	50
palavakivi	N_KIVI	51
palavapensas	N_PATSAS	51
palavarakkaus	N_AAKKOSELLISUUS	51
palavatpensaat	N_VALJAAT	51
palsamijalokuusi	N_RUUHI	50
pehmytkudos	N_VAKUUTUS	50
pieksää	V_KIVISTÄÄ	54
pitkä	A_PITKÄ	10
pitkähöylä	N_HÖPÖTTÄJÄ	50
pitkäkirkko	N_UKKO	50
pitkäkirkko	N_UKKO	51
pitkäpalko	N_PELKO	50
pitkäperjantai	N_HAI	50
pitkäperjantai	N_HAI	51
pitkäpiimä	N_YMPÄRYSTÄ	51
pitkäsiima	N_KIRJA	51
pitkätakki	N_LOKKI	51
pitkäthousut	N_HOUSUT	51
pitkätukka	N_LUOKKA	50
poika	N_POIKA	10
puhdastila	N_KIRJA	50
puhdasviljelmä	N_HÖPÖTTÄJÄ	50
puhdasviljely	N_VEHKEILY	50
puola	N_KIRJA	10
puola	N_VOIMA	10
puoli	PCLE_VAAN	26
puolihoito	N_TALO	50
puolikuu	N_PUU	50
puolikuu	N_PUU	51
puolikymmentäNUM_KYMMENTÄ51
puolimatka	N_KIRJA	50
puolimatka	N_KIRJA	51
puoli	N_RUUHI	26
puolipäivä	N_HÖPÖTTÄJÄ	50
puolipäivä	N_HÖPÖTTÄJÄ	51
puolisataaNUM_KYMMENTÄ51
puolivapaapäivä	N_HÖPÖTTÄJÄ	50
puoliväli	N_TYYLI	50
puoliväli	N_TYYLI	51
raaka-aine	N_ASTE	50
raakakahvi	N_RUUVI	50
raakakakku	N_TIKKU	50
raakakivi	N_KIVI	50
raakakopio	N_TUOMIO	50
raakakuitu	N_KUITU	50
raakakumi	N_RUUVI	50
raakakupari	N_RUUVI	50
raakakypsytys	N_RÄJÄYTYS	50
raakakäännös	N_RÄJÄYTYS	50
raakalauta	N_PATA	50
raakamaa	N_MAA	50
raakamakkara	N_KITARA	50
raakamalmi	N_RUUVI	50
raakametalli	N_KANAALI	50
raakanahka	N_KIRJA	50
raakanahka	N_KIRJA	50
raakanahka	N_VIKA	50
raakanahka	N_VIKA	50
raakapakaste	N_ASTE	50
raakapihvi	N_TYYLI	50
raakapuu	N_PUU	50
raakapuuro	N_TALO	50
raakaraaste	N_ASTE	50
raakarauta	N_KIRJA	50
raakaravinto	N_TUNTO	50
raakasilkki	N_HÄKKI	50
raakasokeri	N_KANAALI	50
raakasose	N_ASTE	50
raakatislaus	N_VAKUUTUS	50
raakavedos	N_VAKUUTUS	50
raakavesi	N_KÖYSI	50
raakaöljy	N_KÄRRY	50
raatihuonevilliviini	N_TYYLI	50
radikaalileikkaus	N_VAKUUTUS	50
raitisilma	N_KIRJA	50
raitisilma	N_KIRJA	51
rajuilma	N_KIRJA	50
rankkasade	N_LUODE	50
raskasmetalli	N_KANAALI	50
raskassarja	N_KIRJA	51
raskasvesi	N_KÖYSI	50
raskasvesi	N_KÖYSI	51
raskasvety	N_VETY	50
raskasvety	N_VETY	51
rikasilmeinen	A_KYLMÄJÄRKINEN	18
ruotsinpitkäpalko	N_PELKO	50
ruskeakieli	N_HIIRI	50
saPRO	N_MA	99
saksanjalokuusi	N_RUUHI	50
samperi	PCLE_VAAN	6
samperi	N_KANAALI	6
selväkieli	N_HIIRI	50
selvänäkijä	N_HÄKKYRÄ	50
selvänäkö	N_NÄKÖ	50
sepiväpeippi	N_TYYPPI	50
sepiväpeippi	N_TYYPPI	51
sokeapainatus	N_VAKUUTUS	50
soopa	N_LUPA	99
sotakorkeakoulu	N_ASU	50
suippokaari	N_RUUHI	50
suippolakki	N_LOKKI	50
suippotorni	N_RUUVI	50
sulahitsaus	N_VAKUUTUS	50
sulavesi	N_KÖYSI	50
suora-ammunta	N_KUTSUNTA	50
suorakaide	N_LUODE	50
suorakauppa	N_TIPPA	50
suorakorvaus	N_VAKUUTUS	50
suorakulmain	N_PUHELIN	50
suorakulma	N_VOIMA	50
suorakulma	N_VOIMA	51
suorakulmio	N_TUOMIO	50
suorakäyttö	N_PÖNTTÖ	50
suoramainonta	N_KUTSUNTA	50
suoramainos	N_VAKUUTUS	50
suoramarkkinointi	N_SOINTI	50
suoramyynti	N_VIENTI	50
suoraommel	N_OMMEL	50
suoraommel	N_OMMEL	51
suorasuihkutus	N_VAKUUTUS	50
suorasuu	N_PUU	50
suorasuuntaus	N_VAKUUTUS	50
suoraveloitus	N_VAKUUTUS	50
suuriruhtinas	N_PATSAS	50
suuriruhtinatar	N_AJATAR	50
syväasfaltti	N_KORTTI	50
syväauraus	N_VAKUUTUS	50
syvähaastattelu	N_ASU	50
syvähengitys	N_RÄJÄYTYS	50
syväkairaus	N_VAKUUTUS	50
syväkivilaji	N_RUUVI	50
syväluotaus	N_VAKUUTUS	50
syvämeri	N_MERI	51
syvämeri	N_MERI	51
syvämuokkaus	N_VAKUUTUS	50
syväonginta	N_KUTSUNTA	50
syväonki	N_ONKI	50
syväpainanta	N_KUTSUNTA	50
syväpaino	N_TALO	50
syvärakenne	N_RAKENNE	50
syväsatama	N_VOIMA	50
syvätarkkuus	N_AAKKOSELLISUUS	50
syväväylä	N_HÖPÖTTÄJÄ	50
särkyneetsydämet	N_KERITSIMET	51
särkynytsydän	N_SYDÄN	51
taajahylly	N_KÄRRY	50
tarkka-ampuja	N_VOIMA	50
tarkkavaaitus	N_VAKUUTUS	50
tekojalokivi	N_ONNI	50
tenä	N_HÖPÖTTÄJÄ	99
tiukkailmeinen	A_KYLMÄJÄRKINEN	18
tiukkapipo	N_TALO	50
toka	N_VOIMA	99
totaalikieltäytyjä	N_HÖPÖTTÄJÄ	50
tummasilmä	N_HÖPÖTTÄJÄ	50
tummatukka	N_LUOKKA	50
tuore-elintarvike	N_KASTIKE	50
tuorejuusto	N_TALO	50
tuoremehu	N_ASU	50
tuorepaino	N_TALO	50
tuorepasta	N_KIRJA	50
tuorepuuro	N_TALO	50
tuoreravinto	N_TUNTO	50
tuorerehu	N_ASU	50
tuoreruokinta	N_KUTSUNTA	50
tuoresose	N_ASTE	50
tuoresuolaus	N_VAKUUTUS	50
tuoretavara	N_KITARA	50
tuoretuote	N_OSOITE	50
tuoreveri	N_VERI	50
tyhjäkäynti	N_VIENTI	50
tyhjäpaino	N_TALO	51
tyhjäsuoli	N_RUUHI	50
tyhjätasku	N_ASU	50
täysihoito	N_TALO	50
täysikuu	N_PUU	50
täysikuu	N_PUU	51
uniikkikappale	N_ASTE	50
universaalitiede	N_KIDE	50
uusikuu	N_PUU	51
uusivuosi	N_KAUSI	51
vajaakäyttö	N_PÖNTTÖ	50
vajaaravitsemus	N_VAKUUTUS	50
vajaatoiminta	N_KUTSUNTA	50
vajaatyöllisyys	N_KÖYHYYS	50
vakavailmeinen	A_KYLMÄJÄRKINEN	18
valmisateria	N_MAKKARA	50
valmisbetoni	N_KANAALI	50
valmismatka	N_KIRJA	50
valmisosa	N_VOIMA	50
valmispuku	N_LUKU	50
valmisruoka	N_RUOKA	50
valmistalo	N_TALO	50
valmisvaate	N_ASTE	50
vanhaemäntä	N_HÄNTÄ	51
vanhaisäntä	N_HÄNTÄ	51
vanhakaupunki	N_VANKI	51
vanhapiika	N_VIKA	51
vanhapoika	N_POIKA	51
vanhasuomalainen	N_AAKKOSTAMINEN	50
vapaa-aika	N_AIKA	50
vapaa-ajattelija	N_MAKKARA	50
vapaa-ajattelu	N_ASU	50
vapaaheitto	N_HIRTTO	50
vapaaherra	N_KIRJA	50
vapaaherratar	N_AJATAR	50
vapaahetki	N_KIVI	50
vapaailta	N_VALTA	50
vapaakappale	N_ASTE	50
vapaakauppa	N_TIPPA	50
vapaakaupunki	N_VANKI	50
vapaakiipeily	N_VEHKEILY	50
vapaakirkko	N_UKKO	50
