lemma	new_para	plurale_tantum
Tuohiojankalliot	N_RAUNIOT	obligatory
Tuohiojansaarekkeet	N_KUULOKKEET	obligatory
Tuohisaarenvisat	N_VARAT	obligatory
Tuohistonluodot	N_PIDOT	obligatory
Tuohivaaranlammit	N_LAMMIT	obligatory
Tuoksuuniemenvuoret	N_SAARET	obligatory
Tuolpaharjut	N_HOUSUT	obligatory
Tuolpajärvet	N_RIPSET	obligatory
Tuolpujärvet	N_RIPSET	obligatory
Tuomaanpellot	N_AALLOT	obligatory
Tuomarinkivet	N_SAKSET	obligatory
tuomarinohjeet	N_HIUTALEET	obligatory
Tuomijoenniityt	N_NIITYT	obligatory
Tuomikarit	N_LASIT	obligatory
Tuomilammit	N_LAMMIT	obligatory
Tuomilähteet	N_TIETEET	obligatory
tuominen	N_AAKKOSTAMINEN	common
Tuomiojanniityt	N_NIITYT	obligatory
Tuomiokivet	N_SAKSET	obligatory
tuomioperuste	N_ASTE	common
Tuomipakat	N_PAIKAT	obligatory
Tuomistonsaaret	N_SAARET	obligatory
Tuomonsaaret	N_SAARET	obligatory
Tuorakankalliot	N_RAUNIOT	obligatory
Tuoreenniemenkalliot	N_RAUNIOT	obligatory
Tuoreetsaaret	N_SAARET	obligatory
Tuoreriukat	N_PAIKAT	obligatory
Tuoreselänlammit	N_LAMMIT	obligatory
Tuorrainharjut	N_HOUSUT	obligatory
tupaantuliaiset	N_RAPPUSET	obligatory
Tupajärvet	N_RIPSET	obligatory
Tupakivet	N_SAKSET	obligatory
Tupakkikaistot	N_AIVOT	obligatory
Tupakkisaaret	N_SAARET	obligatory
Tupaluodot	N_PIDOT	obligatory
Tupasalot	N_AIVOT	obligatory
Tuplasaaret	N_SAARET	obligatory
tuplatreffit	N_LIIVIT	obligatory
Tuppilammit	N_LAMMIT	obligatory
Tuppisuot	N_SUOT	obligatory
Tuppulansaaret	N_SAARET	obligatory
Tuppurinkalliot	N_RAUNIOT	obligatory
Tupraminsärkät	N_SÄRKÄT	obligatory
Tuprennonkalliot	N_RAUNIOT	obligatory
tupsuhäntäkontiaiset	N_RAPPUSET	obligatory
Tupsuluodot	N_PIDOT	obligatory
Tupsupetäjäharjut	N_HOUSUT	obligatory
Tupurikalliot	N_RAUNIOT	obligatory
turakot	N_LUOLIKOT	obligatory
Turanluodot	N_PIDOT	obligatory
Turanpellot	N_AALLOT	obligatory
Turasenlammit	N_LAMMIT	obligatory
Turjalaiset	N_RAPPUSET	obligatory
Turjanpellot	N_AALLOT	obligatory
Turkama & kumppanit	N_FARMARIT	obligatory
Turkinkaarrot	N_KAARROT	obligatory
Turkinpellot	N_AALLOT	obligatory
Turkinsaaret	N_SAARET	obligatory
turkis	N_VAKUUTUS	common
Turkistuottajat	N_JUHLAT	obligatory
Turkkikuusikot	N_LUOLIKOT	obligatory
Turkkiniemenkankaat	N_RENKAAT	obligatory
Turkkisaaret	N_SAARET	obligatory
Turks- ja Caicossaaret	N_SAARET	obligatory
turnajaiset	N_RAPPUSET	obligatory
turpakäräjät	N_KÄRÄJÄT	obligatory
Turpeisenlammit	N_LAMMIT	obligatory
Tursansaaret	N_SAARET	obligatory
Turun Auskultantit	N_KASTANJETIT	obligatory
Turun kauppatieteiden ylioppilaat	N_VALJAAT	obligatory
Turun Kisa-Veikot	N_JOUKOT	obligatory
Turun Sanomat	N_JUHLAT	obligatory
Turun Seudun Työttömät	N_TYÖTTÖMÄT	obligatory
Turun Suunnistajat	N_JUHLAT	obligatory
Turun Toverit	N_FARMARIT	obligatory
Turun Weikot	N_JOUKOT	obligatory
Turun Yliopiston Kemistit	N_LIIVIT	obligatory
Turun yliopiston luonnontieteiden ylioppilaat	N_VALJAAT	obligatory
Turun yliopiston tieteentekijät	N_RÄMIÄT	obligatory
Turun Yrittäjät	N_KÄRÄJÄT	obligatory
Turusenlammit	N_LAMMIT	obligatory
Turvakkokönkäänlammit	N_LAMMIT	obligatory
Turvakkolammit	N_LAMMIT	obligatory
Turvakot	N_LUOLIKOT	obligatory
turvavaljaat	N_VALJAAT	obligatory
Turvaykköset	N_VIHKIÄISET	obligatory
Turvelammit	N_LAMMIT	obligatory
Turvelompolat	N_MARKKINAT	obligatory
Turvesaaret	N_SAARET	obligatory
turvevarat	N_VARAT	obligatory
Tussarilammit	N_LAMMIT	obligatory
Tussut	N_HOUSUT	obligatory
Tusunkalliot	N_RAUNIOT	obligatory
tutka-aallot	N_AALLOT	obligatory
tuttavukset	N_SERKUKSET	obligatory
Tuuhansaaret	N_SAARET	obligatory
Tuulenpesänmäet	N_MÄET	obligatory
Tuulispäät	N_HÄÄT	obligatory
Tuulvedenkarit	N_LASIT	obligatory
Tuupovaaran Urheilijat	N_MARKKINAT	obligatory
Tuurajärvenkalliot	N_RAUNIOT	obligatory
Tuurinkalliot	N_RAUNIOT	obligatory
Tuusanpöölinarot	N_AIVOT	obligatory
Tuusulan Voima-Veikot	N_JOUKOT	obligatory
Tuuttilankalliot	N_RAUNIOT	obligatory
tvillikangashousut	N_HOUSUT	obligatory
TV-Ohjaajat ja Toimittajat	N_JUHLAT	obligatory
tweedhousut	N_HOUSUT	obligatory
Tykkikarit	N_LASIT	obligatory
Tykkimiehet	N_MIEHET	obligatory
tykötarpeet	N_TARPEET	obligatory
Tyngänkaarrot	N_KAARROT	obligatory
tynkäkisat	N_VARAT	obligatory
Tynkäsaaret	N_SAARET	obligatory
Tynnyrilammit	N_LAMMIT	obligatory
Tynnyrisaaret	N_SAARET	obligatory
Tynnörilammit	N_LAMMIT	obligatory
Tynttyrit	N_BIKINIT	obligatory
Tyrisevänkalliot	N_RAUNIOT	obligatory
Tyrmänmäet	N_MÄET	obligatory
tyrskyahven	N_JOUTSEN	common
Tyrskävänsaaret	N_SAARET	obligatory
tyräkkikasvi	N_RUUVI	common
Tyräkummut	N_KUMMUT	obligatory
Tyräluodot	N_PIDOT	obligatory
Tyräsaaret	N_SAARET	obligatory
Tyräsuot	N_SUOT	obligatory
Tyräsärkät	N_SÄRKÄT	obligatory
Tyttöjenkankaat	N_RENKAAT	obligatory
Tyttösaaret	N_SAARET	obligatory
Tytönsaaret	N_SAARET	obligatory
Tyvijärvet	N_RIPSET	obligatory
Tyvinlammit	N_LAMMIT	obligatory
tyynenmerenlohi	N_TULI	common
Tyysynkalliot	N_RAUNIOT	obligatory
Työeläkevakuuttajat	N_JUHLAT	obligatory
työmarkkinat	N_MARKKINAT	obligatory
Työmössaaret	N_SAARET	obligatory
työntökärryt	N_PÖKSYT	obligatory
työolosuhteet	N_SUHTEET	obligatory
työolot	N_AIVOT	obligatory
Työsiönvuoret	N_SAARET	obligatory
työtoverukset	N_SERKUKSET	obligatory
työvoimaresurssi	N_RUUVI	common
Työväen Maila-Pojat	N_JUHLAT	obligatory
tähtianis	N_VAKUUTUS	common
tähtihyasintti	N_KORTTI	common
tähtikuonokontiaiset	N_RAPPUSET	obligatory
Tähtiniemensaaret	N_SAARET	obligatory
Tähyssaaret	N_SAARET	obligatory
Täitimensaaret	N_SAARET	obligatory
Täkkilänkukkulat	N_MARKKINAT	obligatory
Tämäkkäluodot	N_PIDOT	obligatory
täplähyeena	N_KITARA	common
täpläkauris	N_RUUMIS	common
täplälepakko	N_LEPAKKO	common
täpläperhonen	N_AAKKOSTAMINEN	common
täplärastas	N_PATSAS	common
täpläskunkki	N_LOKKI	common
Tärkkämönkankaat	N_RENKAAT	obligatory
Tärväset	N_VIHKIÄISET	obligatory
täräys	N_RÄJÄYTYS	common
täydennysjoukko	N_UKKO	common
täysisisarukset	N_SERKUKSET	obligatory
täyssisarukset	N_SERKUKSET	obligatory
Tökerösaaret	N_SAARET	obligatory
Tölkänkalliot	N_RAUNIOT	obligatory
Töllät	N_KÄRÄJÄT	obligatory
Tölppäreenlammit	N_LAMMIT	obligatory
Tölppäsensaaret	N_SAARET	obligatory
Tölpäköt	N_TÖLPÄKÖT	obligatory
Tölpät	N_TÖLPÄT	obligatory
Tönököökinmutkat	N_JUHLAT	obligatory
Töppösenluolikot	N_LUOLIKOT	obligatory
Töppöslahdet	N_LAHDET	obligatory
Törisevänlammit	N_LAMMIT	obligatory
Törisevänluodot	N_PIDOT	obligatory
Törisevänniityt	N_NIITYT	obligatory
Törisevänsaaret	N_SAARET	obligatory
Törminpellot	N_AALLOT	obligatory
Törmänkilammit	N_LAMMIT	obligatory
Törmäsenjängät	N_KENGÄT	obligatory
Törmässaaret	N_SAARET	obligatory
Törnilammit	N_LAMMIT	obligatory
Törönniityt	N_NIITYT	obligatory
Törösenojanpellot	N_AALLOT	obligatory
Töttöset	N_VIHKIÄISET	obligatory
töyhtökäärmekurki	N_ARKI	common
töyhtönärhi	N_KIVI	common
töyhtöpingviini	N_KEHVELI	common
töyhtöromiskot	N_PIPPALOT	obligatory
Töyrikalliot	N_RAUNIOT	obligatory
Töyrypellot	N_AALLOT	obligatory
Töyränjängät	N_KENGÄT	obligatory
Töyräsjärvet	N_RIPSET	obligatory
Töysänkalliot	N_RAUNIOT	obligatory
Töysänsaaret	N_SAARET	obligatory
Töömperinlammit	N_LAMMIT	obligatory
udar	N_UDAR	common
uhrimenot	N_AIVOT	obligatory
Uijankummut	N_KUMMUT	obligatory
uikkarit	N_FARMARIT	obligatory
uikkulintu	N_LINTU	common
uimahousut	N_HOUSUT	obligatory
uimalasit	N_LASIT	obligatory
uimapolyyppi	N_TYYPPI	common
uintipotku	N_ASU	common
Uitinluodot	N_PIDOT	obligatory
Uitinsaaret	N_SAARET	obligatory
Uitkalliot	N_RAUNIOT	obligatory
Uitonkalliot	N_RAUNIOT	obligatory
Uitonlammit	N_LAMMIT	obligatory
Uitonsaaret	N_SAARET	obligatory
Uitonsärkät	N_SÄRKÄT	obligatory
Uitonvuoret	N_SAARET	obligatory
Uittamonsaaret	N_SAARET	obligatory
Uittoharjut	N_HOUSUT	obligatory
Uittokalliot	N_RAUNIOT	obligatory
Uittosaaret	N_SAARET	obligatory
ukkohousut	N_HOUSUT	obligatory
Ukkolankalliot	N_RAUNIOT	obligatory
Ukkosaaret	N_SAARET	obligatory
Ukkosenniityt	N_NIITYT	obligatory
Ukonharjut	N_HOUSUT	obligatory
Ukonhaudat	N_RAUDAT	obligatory
Ukonhautoinniitut	N_NIITUT	obligatory
Ukonkalliot	N_RAUNIOT	obligatory
Ukonkankaankaistot	N_AIVOT	obligatory
Ukonkaskenlammit	N_LAMMIT	obligatory
Ukonkivet	N_SAKSET	obligatory
Ukonkönkäänkankaat	N_RENKAAT	obligatory
Ukonlammit	N_LAMMIT	obligatory
Ukonluodot	N_PIDOT	obligatory
Ukonluolat	N_JUHLAT	obligatory
Ukonluomat	N_JUHLAT	obligatory
Ukonmukanlammet	N_LAMMET	obligatory
Ukonmurronlammit	N_LAMMIT	obligatory
Ukonmurrot	N_KAARROT	obligatory
Ukonnevansaaret	N_SAARET	obligatory
Ukonniityt	N_NIITYT	obligatory
Ukonojanlatvat	N_VARAT	obligatory
Ukonpalonkosket	N_SAKSET	obligatory
Ukonsaaret	N_SAARET	obligatory
Ukon Salmiset	N_RAPPUSET	obligatory
Ukonvirrat	N_KARRAT	obligatory
Ukonvuoret	N_SAARET	obligatory
Uksemaharjut	N_HOUSUT	obligatory
Ukurinarot	N_AIVOT	obligatory
ula-aallot	N_AALLOT	obligatory
ulappakeiju	N_ASU	common
ulappalintu	N_LINTU	common
Uljanluolat	N_JUHLAT	obligatory
Ulkan Valkeat	N_HOPEAT	obligatory
Ulkkalammit	N_LAMMIT	obligatory
Ulkkasärkät	N_SÄRKÄT	obligatory
ulkoasiat	N_MARKKINAT	obligatory
ulkoiluvarusteet	N_HIUTALEET	obligatory
Ulkoistenkalliot	N_RAUNIOT	obligatory
ulkomaanmarkkinat	N_MARKKINAT	obligatory
ulkomaansuhteet	N_SUHTEET	obligatory
Ulko-Merkkivaaran kummut	N_KUMMUT	obligatory
Ulkoset	N_RAPPUSET	obligatory
ulkosynnyttimet	N_SYNNYTTIMET	obligatory
Ulko-Tammion koput	N_HOUSUT	obligatory
ulkovarustus	N_VAKUUTUS	common
Ulkukarit	N_LASIT	obligatory
Ulkusaaret	N_SAARET	obligatory
Ulkuselkäjärvet	N_RIPSET	obligatory
Ulkusijankummut	N_KUMMUT	obligatory
Ulkusijanlammit	N_LAMMIT	obligatory
Ulkuvinsat	N_VARAT	obligatory
Ullakonluodot	N_PIDOT	obligatory
Ullalompolot	N_PIPPALOT	obligatory
Ullatievat	N_VARAT	obligatory
Ulmastenkivet	N_SAKSET	obligatory
Ulppaankankaat	N_RENKAAT	obligatory
Ulpukkalammit	N_LAMMIT	obligatory
