lemma	homonym	new_para	boundaries
aikamatka	1	N_KIRJA	aika{WB}matka
aikamatkailu	1	N_SEIKKAILU	aika{WB}matkailu
aikamatkustus	1	N_VAKUUTUS	aika{WB}matkustus
aikamerkki	1	N_HÄKKI	aika{WB}merkki
aikamies	1	N_MIES	aika{WB}mies
aikamiespoika	1	N_POIKA	aika{WB}mies{WB}poika
aikamiina	1	N_KITARA	aika{WB}miina
aikamitta	1	N_MITTA	aika{WB}mitta
aikamoinen	1	A_AAKKOSELLINEN	aika{WB}moinen
aikamuoto	1	N_VETO	aika{WB}muoto
aikamuotojärjestelmä	1	N_HÖPÖTTÄJÄ	aikamuoto{WB}järjestelmä
aikamäärä	1	N_HÖPÖTTÄJÄ	aika{WB}määrä
aikapalkka	1	N_POLITIIKKA	aika{WB}palkka
aikapalkkainen	1	A_AAKKOSELLINEN	aika{WB}palkkainen
aikapalkkaus	1	N_VAKUUTUS	aika{WB}palkkaus
aikapeli	1	N_TYYLI	aika{WB}peli
aikapommi	1	N_RUUVI	aika{WB}pommi
aikapula	1	N_MAKKARA	aika{WB}pula
aikarahtaus	1	N_VAKUUTUS	aika{WB}rahtaus
aikaraja	1	N_KIRJA	aika{WB}raja
aikarajoitus	1	N_VAKUUTUS	aika{WB}rajoitus
aikasarja	1	N_KIRJA	aika{WB}sarja
aikasytytin	1	N_HEITIN	aika{WB}sytytin
aikasytytteinen	1	A_KYLMÄJÄRKINEN	aika{WB}sytytteinen
aikasytytyksinen	1	A_KYLMÄJÄRKINEN	aika{WB}sytytyksinen
aikasytytys	1	N_RÄJÄYTYS	aika{WB}sytytys
aikataulu	1	N_ASU	aika{WB}taulu
aikatiedotus	1	N_VAKUUTUS	aika{WB}tiedotus
aikaurakka	1	N_LUSIKKA	aika{WB}urakka
aikavalotus	1	N_VAKUUTUS	aika{WB}valotus
aikavaraus	1	N_VAKUUTUS	aika{WB}varaus
aikaveloitus	1	N_VAKUUTUS	aika{WB}veloitus
aikavyöhyke	1	N_LÄÄKE	aika{WB}vyöhyke
aikaväli	1	N_TYYLI	aika{WB}väli
aikayksikkö	1	N_YKSIKKÖ	aika{WB}yksikkö
aikuisikä	1	N_HÖPÖTTÄJÄ	aikuis{WB}ikä
aikuiskaste	1	N_ASTE	aikuis{WB}kaste
aikuiskasvatus	1	N_VAKUUTUS	aikuis{WB}kasvatus
aikuiskoulutus	1	N_VAKUUTUS	aikuis{WB}koulutus
aikuisopetus	1	N_VAKUUTUS	aikuis{WB}opetus
aikuisopiskelija	1	N_MAKKARA	aikuis{WB}opiskelija
ainaisjäsen	1	N_SIEMEN	ainais{WB}jäsen
ainaisvakuutus	1	N_VAKUUTUS	ainais{WB}vakuutus
aineellistuma	1	N_VOIMA	aineellis{WB}tuma
aineenjuoksevuusoppi	1	N_KUPPI	aineenjuoksevuus{WB}oppi
aineenkirjoittaja	1	N_VOIMA	aineen{WB}kirjoittaja
aineenkoetus	1	N_VAKUUTUS	aineen{WB}koetus
aineenopettaja	1	N_VOIMA	aineen{WB}opettaja
aineenvaihdunnallinen	1	A_AAKKOSELLINEN	aineen{WB}vaihdunnallinen
aineenvaihdunta	1	N_KUTSUNTA	aineen{WB}vaihdunta
aineenvaihduntahäiriö	1	N_HÄIRIÖ	aineen{WB}vaihdunta{WB}häiriö
aineenvaihduntaprosessi	1	N_RUUVI	aineenvaihdunta{WB}prosessi
aineenvaihduntatuote	1	N_OSOITE	aineenvaihdunta{WB}tuote
ainehiukkanen	1	N_AAKKOSTAMINEN	aine{WB}hiukkanen
aineistokoe	1	N_KOE	aineisto{WB}koe
aineistuma	1	N_VOIMA	aineis{WB}tuma
ainejakoinen	1	A_AAKKOSELLINEN	aine{WB}jakoinen
ainejärjestö	1	N_JÄÄTELÖ	aine{WB}järjestö
ainekirjoitus	1	N_VAKUUTUS	aine{WB}kirjoitus
ainekoostumus	1	N_VAKUUTUS	aine{WB}koostumus
aineksenkeruu	1	N_LEIKKUU	aineksen{WB}keruu
aineluokka	1	N_LUOKKA	aine{WB}luokka
aineluokkajärjestelmä	1	N_HÖPÖTTÄJÄ	aine{WB}luokka{WB}järjestelmä
ainemäärä	1	N_HÖPÖTTÄJÄ	aine{WB}määrä
aineopinnot	1	N_OPINNOT	aine{WB}opinnot
aineosa	1	N_VOIMA	aine{WB}osa
ainesana	1	N_KIRJA	aine{WB}sana
aineseos	1	N_VAKUUTUS	aine{WB}seos
aineskokoelma	1	N_VOIMA	aines{WB}kokoelma
ainesosa	1	N_VOIMA	aines{WB}osa
ainespuu	1	N_PUU	aines{WB}puu
aineyhdistelmä	1	N_HÖPÖTTÄJÄ	aine{WB}yhdistelmä
ainoalaatuinen	1	A_AAKKOSELLINEN	ainoa{WB}laatuinen
ainoalaatuisuus	1	N_AAKKOSELLISUUS	ainoa{WB}laatuisuus
ainoiskappale	1	N_ASTE	ainois{WB}kappale
airokala	1	N_KIRJA	airo{WB}kala
airomies	1	N_MIES	airo{WB}mies
aironlapa	1	N_SALPA	airon{WB}lapa
aironveto	1	N_VETO	airon{WB}veto
airopari	1	N_RUUVI	airo{WB}pari
airutkuvio	1	N_TUOMIO	airut{WB}kuvio
aisahevonen	1	N_AAKKOSTAMINEN	aisa{WB}hevonen
aisakello	1	N_TALO	aisa{WB}kello
aisankannattaja	1	N_VOIMA	aisan{WB}kannattaja
aisapari	1	N_RUUVI	aisa{WB}pari
aistialue	1	N_ASTE	aisti{WB}alue
aistienvarainen	1	A_AAKKOSELLINEN	aistien{WB}varainen
aistiharha	1	N_KIRJA	aisti{WB}harha
aistiharhainen	1	A_AAKKOSELLINEN	aisti{WB}harhainen
aistihavainto	1	N_TUNTO	aisti{WB}havainto
aistihermo	1	N_TALO	aisti{WB}hermo
aistikokemus	1	N_VAKUUTUS	aisti{WB}kokemus
aistimaailma	1	N_KITARA	aisti{WB}maa{WB}ilma
aistimuskynnys	1	N_RÄJÄYTYS	aistimus{WB}kynnys
aistimussisältö	1	N_SISÄLTÖ	aistimus{WB}sisältö
aistinelin	1	N_ELIN	aistin{WB}elin
aistinreseptori	1	N_RUUVI	aistin{WB}reseptori
aistinsisältö	1	N_SISÄLTÖ	aistin{WB}sisältö
aistinsolu	1	N_ASU	aistin{WB}solu
aistinvarainen	1	A_AAKKOSELLINEN	aistin{WB}varainen
aistipiiri	1	N_TYYLI	aisti{WB}piiri
aistivaikutelma	1	N_VOIMA	aisti{WB}vaikutelma
aistivammainen	1	A_AAKKOSELLINEN	aisti{WB}vammainen
aistivammainen	2	N_AAKKOSTAMINEN	aisti{WB}vammainen
aitajuoksija	1	N_MAKKARA	aita{WB}juoksija
aitajuoksu	1	N_ASU	aita{WB}juoksu
aitajuoksukilpailu	1	N_SEIKKAILU	aitajuoksu{WB}kilpailu
aitalikusteri	1	N_KANAALI	aita{WB}likusteri
aitamateriaali	1	N_RUUVI	aita{WB}materiaali
aitapensas	1	N_PATSAS	aita{WB}pensas
aitiopaikka	1	N_POLITIIKKA	aitio{WB}paikka
