lemma	new_paras	homonym
alavutelainen	['N_AAKKOSTAMINEN']	2
albanialainen	['A_AAKKOSELLINEN']	1
albanialainen	['N_AAKKOSTAMINEN']	2
albiino	['A_KOHELO']	1
albiino	['N_RUIPELO']	2
aleksandrialainen	['A_AAKKOSELLINEN']	1
aleksandrialainen	['N_AAKKOSTAMINEN']	2
Aleppo	['N_HAPPO']	1
Aleppo	['N_TALO']	2
Ales	['N_PARFAIT']	1
Ales	['N_PUNK']	2
Alès	['N_PARFAIT']	1
Alès	['N_PUNK']	2
aleutti	['A_HURTTI']	1
aleutti	['N_KORTTI']	2
Alexis	['N_PUNK']	1
Alexis	['N_VAKUUTUS']	2
Alfeios	['N_PUNK']	1
Alfeios	['N_VAKUUTUS']	2
Alfeiós	['N_PUNK']	1
Alfeiós	['N_VAKUUTUS']	2
algerialainen	['A_AAKKOSELLINEN']	1
algerialainen	['N_AAKKOSTAMINEN']	2
Algyogy	['N_KÄRRY']	1
Algyogy	['N_ZEN']	2
Algyógy	['N_KÄRRY']	1
Algyógy	['N_ZEN']	2
alinen	['A_AAKKOSELLINEN']	1
alinen	['N_AAKKOSTAMINEN']	2
alkoholiongelmainen	['A_AAKKOSELLINEN']	1
alkoholiongelmainen	['N_AAKKOSTAMINEN']	2
Alku	['N_ALKU']	1
Alku	['N_ASU']	2
allaoleva	['A_RUMA']	1
allaoleva	['N_VOIMA']	2
allekirjoittanut	['A_KULUNUT']	1
allekirjoittanut	['N_AIVOKUOLLUT']	2
Almyropotamos	['N_PUNK']	1
Almyropotamos	['N_VAKUUTUS']	2
Almyropótamos	['N_PUNK']	1
Almyropótamos	['N_VAKUUTUS']	2
alpi	['N_KORPI']	1
alpi	['N_RUUVI']	2
altailainen	['A_AAKKOSELLINEN']	1
altailainen	['N_AAKKOSTAMINEN']	2
alusta	['N_KITARA']	1
alusta	['PCLE_NOPEASTI']	2
Alve	['N_ASTE']	1
Alve	['N_NALLE']	2
Amarynthos	['N_PUNK']	1
Amarynthos	['N_VAKUUTUS']	2
Amárynthos	['N_PUNK']	1
Amárynthos	['N_VAKUUTUS']	2
AMD	['ACRO_EE']	1
AMD	['ACRO_EE',	2
amerikansamoalainen	['A_AAKKOSELLINEN']	1
amerikansamoalainen	['N_AAKKOSTAMINEN']	2
amerikansuomalainen	['A_AAKKOSELLINEN']	1
amerikansuomalainen	['N_AAKKOSTAMINEN']	2
amerikkalainen	['A_AAKKOSELLINEN']	1
amerikkalainen	['N_AAKKOSTAMINEN']	2
amhara	['N_KIRJA']	1
amhara	['N_KITARA']	2
ammattilainen	['A_AAKKOSELLINEN']	1
ammattilainen	['N_AAKKOSTAMINEN']	2
ammattirikollinen	['A_AAKKOSELLINEN']	1
ammattirikollinen	['N_AAKKOSTAMINEN']	2
Amorgos	['N_PUNK']	1
Amorgos	['N_VAKUUTUS']	2
Ámorgos	['N_PUNK']	1
Ámorgos	['N_VAKUUTUS']	2
Amos	['N_PUNK']	1
Amos	['N_VAKUUTUS']	2
