lemma	new_para	argument
devalvoida	V_KOPIOIDA	intransitive
devalvoitua	V_ROHTUA	intransitive
diagnosoida	V_KOPIOIDA	intransitive
diagnostisoida	V_KOPIOIDA	intransitive
diagonalisoida	V_KOPIOIDA	intransitive
dialysoida	V_KOPIOIDA	intransitive
diarioida	V_KOPIOIDA	intransitive
diatsotoida	V_KOPIOIDA	intransitive
dieselöidä	V_ÖYKKÄRÖIDÄ	intransitive
differentioida	V_KOPIOIDA	intransitive
differentioitua	V_ROHTUA	intransitive
diffundoitua	V_ROHTUA	intransitive
diftongiutua	V_ROHTUA	intransitive
digata	V_DIGATA	intransitive
digestoida	V_KOPIOIDA	intransitive
digitaalistaa	V_MUTRISTAA	intransitive
digitaalistua	V_KAUNISTUA	intransitive
digitalisoida	V_KOPIOIDA	intransitive
digitoida	V_KOPIOIDA	intransitive
diilata	V_ARVATA	intransitive
diivailla	V_ARVAILLA	intransitive
diivata	V_ARVATA	intransitive
dimeroitua	V_ROHTUA	intransitive
dipata	V_SIEPATA	intransitive
disaggregoida	V_KOPIOIDA	intransitive
diskata	V_ARVATA	intransitive
diskontata	V_LUNTATA	intransitive
diskota	V_LASSOTA	intransitive
diskriminoida	V_KOPIOIDA	intransitive
diskvalifioida	V_KOPIOIDA	intransitive
dispergoida	V_KOPIOIDA	intransitive
dispersoida	V_KOPIOIDA	intransitive
dissimiloitua	V_ROHTUA	intransitive
dissonoida	V_KOPIOIDA	intransitive
dissosioitua	V_ROHTUA	intransitive
divergoitua	V_ROHTUA	intransitive
diversifioida	V_KOPIOIDA	intransitive
dokata	V_ARVATA	intransitive
dokumentoida	V_KOPIOIDA	intransitive
dominoida	V_KOPIOIDA	intransitive
donkata	V_MORKATA	intransitive
doupata	V_SIEPATA	intransitive
dramatiseerata	V_ARVATA	intransitive
dramatisoida	V_KOPIOIDA	intransitive
drapeerata	V_ARVATA	intransitive
dreijata	V_ARVATA	intransitive
dubata	V_ARVATA	intransitive
dubbata	V_ARVATA	intransitive
dumpata	V_SIEPATA	intransitive
duunata	V_ARVATA	intransitive
dynamisoida	V_KOPIOIDA	intransitive
edelleenlähettää	V_RÄPSYTTÄÄ	intransitive
edelleenvakuuttaa	V_VIEROITTAA	intransitive
edelleenvuokrata	V_ARVATA	intransitive
edellyttää	V_RÄPSYTTÄÄ	intransitive
edeltää	V_VIHELTÄÄ	intransitive
edesantaa	V_KANTAA	intransitive
edesastua	V_KAUNISTUA	intransitive
edesauttaa	V_VIEROITTAA	intransitive
edeskantaa	V_KANTAA	intransitive
edeskatsoa	V_PUNOA	intransitive
edeskäydä	V_KÄYDÄ	intransitive
edespitää	V_YSKÄHTÄÄ	intransitive
edestuoda	V_TUODA	intransitive
edesvastata	V_ARVATA	intransitive
edetä	V_PIDETÄ	intransitive
edistyä	V_ÄLLISTYÄ	intransitive
edistää	V_KIVISTÄÄ	intransitive
editoida	V_KOPIOIDA	intransitive
edustaa	V_MUTRISTAA	intransitive
edustautua	V_ROHTUA	intransitive
edustua	V_KAUNISTUA	intransitive
ehdollistaa	V_MUTRISTAA	intransitive
ehdollistua	V_KAUNISTUA	intransitive
ehdotella	V_SULATELLA	intransitive
ehdottaa	V_VIEROITTAA	intransitive
ehdyttää	V_RÄPSYTTÄÄ	intransitive
eheyttää	V_RÄPSYTTÄÄ	intransitive
eheytyä	V_SILIYTYÄ	intransitive
ehkäistyä	V_ÄLLISTYÄ	intransitive
ehkäistä	V_ÄRISTÄ	intransitive
ehostaa	V_MUTRISTAA	intransitive
ehtiä	V_EHTIÄ	intransitive
ehtyä	V_SILIYTYÄ	intransitive
ehättää	V_RÄPSYTTÄÄ	intransitive
ei	V_EI	intransitive
eittää	V_RÄPSYTTÄÄ	intransitive
ejakuloida	V_KOPIOIDA	intransitive
ekobetonoida	V_KOPIOIDA	intransitive
eksisteerata	V_ARVATA	intransitive
eksistoida	V_KOPIOIDA	intransitive
eksplikoida	V_KOPIOIDA	intransitive
ekstrahoida	V_KOPIOIDA	intransitive
ekstrapoloida	V_KOPIOIDA	intransitive
ekstrudoida	V_KOPIOIDA	intransitive
eksyttää	V_RÄPSYTTÄÄ	intransitive
eksyä	V_ÄLLISTYÄ	intransitive
elaboroida	V_KOPIOIDA	intransitive
elehtiä	V_EHTIÄ	intransitive
elellä	V_ÄKSYILLÄ	intransitive
eliminoida	V_KOPIOIDA	intransitive
eliminoitua	V_ROHTUA	intransitive
elinkelpoistaa	V_MUTRISTAA	intransitive
ellottaa	V_VIEROITTAA	intransitive
eloksoida	V_KOPIOIDA	intransitive
elokuvata	V_ARVATA	intransitive
elollistaa	V_MUTRISTAA	intransitive
elostella	V_ETUILLA	intransitive
elostua	V_KAUNISTUA	intransitive
elostuttaa	V_VIEROITTAA	intransitive
elpyä	V_SYÖPYÄ	intransitive
eltaantua	V_VAKAANTUA	intransitive
eluioida	V_KOPIOIDA	intransitive
eluoida	V_KOPIOIDA	intransitive
elvistellä	V_ÄKSYILLÄ	intransitive
elvyttää	V_RÄPSYTTÄÄ	intransitive
elähdyttää	V_RÄPSYTTÄÄ	intransitive
elähyttää	V_RÄPSYTTÄÄ	intransitive
eläimellistyä	V_ÄLLISTYÄ	intransitive
eläimellistää	V_KIVISTÄÄ	intransitive
eläköityä	V_SILIYTYÄ	intransitive
elämöidä	V_ÖYKKÄRÖIDÄ	intransitive
elätellä	V_HERÄTELLÄ	intransitive
elättää	V_RÄPSYTTÄÄ	intransitive
elävöittää	V_RÄPSYTTÄÄ	intransitive
elävöityä	V_SILIYTYÄ	intransitive
eläytyä	V_SILIYTYÄ	intransitive
elää	V_KIVISTÄÄ	intransitive
emaloida	V_KOPIOIDA	intransitive
emansipeerata	V_ARVATA	intransitive
emansipoida	V_KOPIOIDA	intransitive
emansipoitua	V_ROHTUA	intransitive
emigroida	V_KOPIOIDA	intransitive
emigroitua	V_ROHTUA	intransitive
emittoida	V_KOPIOIDA	intransitive
empatisoida	V_KOPIOIDA	intransitive
empiä	V_TYMPIÄ	intransitive
emulgoida	V_KOPIOIDA	intransitive
emulgoitua	V_ROHTUA	intransitive
emuloida	V_KOPIOIDA	intransitive
emännöidä	V_ISÄNNÖIDÄ	intransitive
enentyä	V_TYHJENTYÄ	intransitive
enentää	V_HIVENTÄÄ	intransitive
enetä	V_VÄHETÄ	intransitive
englannintaa	V_HUONONTAA	intransitive
englantilaistaa	V_MUTRISTAA	intransitive
enimmäistää	V_KIVISTÄÄ	intransitive
enkoodata	V_ARVATA	intransitive
ennakoida	V_KOPIOIDA	intransitive
ennallistaa	V_MUTRISTAA	intransitive
ennalta-arvata	V_ARVATA	intransitive
ennaltaehkäistä	V_ÄRISTÄ	intransitive
ennaltamäärätä	V_YNNÄTÄ	intransitive
ennastaa	V_MUTRISTAA	intransitive
ennustaa	V_MUTRISTAA	intransitive
ennustella	V_ETUILLA	intransitive
ennättää	V_RÄPSYTTÄÄ	intransitive
ensiesittää	V_RÄPSYTTÄÄ	intransitive
ensisijaistaa	V_MUTRISTAA	intransitive
enteillä	V_ÄKSYILLÄ	intransitive
entistää	V_KIVISTÄÄ	intransitive
entisöidä	V_ÖYKKÄRÖIDÄ	intransitive
entrata	V_ARVATA	intransitive
entää	V_ENTÄÄ	intransitive
epuuttaa	V_VIEROITTAA	intransitive
epäillä	V_LEPÄILLÄ	intransitive
epäilyttää	V_RÄPSYTTÄÄ	intransitive
epämuodostua	V_KAUNISTUA	intransitive
epämääräistyä	V_ÄLLISTYÄ	intransitive
epäonnistua	V_KAUNISTUA	intransitive
epäröidä	V_ÖYKKÄRÖIDÄ	intransitive
epävakauttaa	V_VIEROITTAA	intransitive
erakoitua	V_ROHTUA	intransitive
erata	V_ERATA	intransitive
erehdyttää	V_RÄPSYTTÄÄ	intransitive
erehtyä	V_SILIYTYÄ	intransitive
erhettyä	V_KIVETTYÄ	intransitive
eriarvoistaa	V_MUTRISTAA	intransitive
eriarvoistua	V_KAUNISTUA	intransitive
erikoistaa	V_MUTRISTAA	intransitive
erikoistua	V_KAUNISTUA	intransitive
erilaistaa	V_MUTRISTAA	intransitive
erilaistua	V_KAUNISTUA	intransitive
eristyä	V_ÄLLISTYÄ	intransitive
eristäytyä	V_SILIYTYÄ	intransitive
eristää	V_KIVISTÄÄ	intransitive
eritellä	V_HERÄTELLÄ	intransitive
erittyä	V_KIVETTYÄ	intransitive
erittää	V_RÄPSYTTÄÄ	intransitive
eritä	V_SELVITÄ	intransitive
eriyttää	V_RÄPSYTTÄÄ	intransitive
eriytyä	V_SILIYTYÄ	intransitive
