lemma	homonym	new_para	particle
alaspäin	1	PCLE_TYHMÄSTI	adverb
alassuin	1	PCLE_NOPEASTI	adverb
alasti	1	PCLE_NOPEASTI	adverb
alastomimmillaan	1	PCLE_ILKOSILLAAN	adverb|Superl
alateitse	1	PCLE_TYHMÄSTI	adverb
alati	1	PCLE_NOPEASTI	adverb
alatusten	1	PCLE_NOPEASTI	adverb
alatuuleen	1	PCLE_NOPEASTI	adverb
alatuulessa	1	PCLE_NOPEASTI	adverb
alaviistoon	1	PCLE_NOPEASTI	adverb
alaviistossa	1	PCLE_NOPEASTI	adverb
alekkain	1	PCLE_NOPEASTI	adverb
alemma	1	PCLE_NOPEASTI	adverb|Comp
alemmaksi	1	PCLE_NOPEASTI	adverb|Comp
alemmas	1	PCLE_NOPEASTI	adverb|Comp
alempaa	1	PCLE_NOPEASTI	adverb|Comp
alempana	1	PCLE_NOPEASTI	adverb|Comp
alentavasti	1	PCLE_NOPEASTI	adverb
alentuvaisesti	1	PCLE_NOPEASTI	adverb
alentuvasti	1	PCLE_NOPEASTI	adverb
aletusten	1	PCLE_NOPEASTI	adverb
alhaalla	1	PCLE_NOPEASTI	adverb
alhaalle	1	PCLE_NOPEASTI	adverb
alhaalta	1	PCLE_NOPEASTI	adverb
alhaisesti	1	PCLE_NOPEASTI	adverb
alhaisimmillaan	1	PCLE_ILKOSILLAAN	adverb|Superl
ali	1	PCLE_NOPEASTI	adposition
alia	1	PCLE_VAAN	unspecified
alias	1	PCLE_VAAN	unspecified
alik.	1	PCLE_VAAN	abbreviation
alil.	1	PCLE_VAAN	abbreviation
alimma	1	PCLE_NOPEASTI	adverb|Superl
alimmaksi	1	PCLE_NOPEASTI	adverb|Superl
alimmas	1	PCLE_NOPEASTI	adverb|Superl
alimpana	1	PCLE_NOPEASTI	adverb|Superl
alinomaa	1	PCLE_NOPEASTI	adverb
alitse	1	PCLE_ALLE	adposition
alitse	2	PCLE_ALLE	adverb
alituiseen	1	PCLE_NOPEASTI	adverb
